Ord,#,N,Des
1,RB11B110,20,Bích nối ống phun PPR DN 110 PN20
2,RB12B125,10,Bích nối ống phun PPR DN 125 PN20
3,RB144016,10,Bích nối ống phun PPR DN 140 PN16
4,RB50RB50,60,Bích nối ống phun PPR DN 50 PN20
5,RB63RB63,50,Bích nối ống phun PPR DN 63 PN20
6,RB75RB75,50,Bích nối ống phun PPR DN 75 PN20
7,RB90RB90,30,Bích nối ống phun PPR DN 90 PN20
8,RDB1B110,20,Đầu bịt phun PPR DN 110 PN20
9,RDB2DB20,600,Đầu bịt phun PPR DN 20 PN20
10,RDB2DB25,360,Đầu bịt phun PPR DN 25 PN20
11,RDB3DB32,400,Đầu bịt phun PPR DN 32 PN20
12,RDB4DB40,300,Đầu bịt phun PPR DN 40 PN20
13,RDB5DB50,120,Đầu bịt phun PPR DN 50 PN20
14,RDB6DB63,100,Đầu bịt phun PPR DN 63 PN20
15,RDB7DB75,50,Đầu bịt phun PPR DN 75 PN20
16,RDB9DB90,30,Đầu bịt phun PPR DN 90 PN20
17,RDKT1050,100,Đai khởi thủy hàn cắm phun PPR DN110-50 PN20
18,RDKT4020,400,Đai khởi thủy hàn cắm phun PPR DN 40-20 PN20
19,RDKT5020,400,Đai khởi thủy hàn cắm phun PPR DN 50 -20 PN20
20,RDKT5025,320,Đai khởi thủy hàn cắm phun PPR DN 50-25 PN20
21,RDKT6320,400,Đai khởi thủy hàn cắm phun PPR DN 63 -20 PN20
22,RDKT6325,320,Đai khởi thủy hàn cắm phun PPR DN 63-25 PN20
23,RDKT6332,300,Đai khởi thủy hàn cắm phun PPR DN 63-32 PN20
24,RDKT7525,300,Đai khởi thủy hàn cắm phun PPR DN 75 -25 PN20
25,RDKT7532,300,Đai khởi thủy hàn cắm phun PPR DN 75-32 PN20
26,RDKT7540,180,Đai khởi thủy hàn cắm phun PPR DN 75 -40 PN20
27,RDKT9020,400,Đai khởi thủy hàn cắm phun PPR DN 90-20 PN20
28,RDKT9025,300,Đai khởi thủy hàn cắm phun PPR DN 90 -25 PN20
29,RDKT9040,180,Đai khởi thủy hàn cắm phun PPR DN 90 -40 PN20
30,ROT2OT20,210,ống tránh PPR DN 20 PN20
31,ROT2OT25,120,ống tránh PPR DN 25 PN20
32,RV20RV20,60,Van chặn phun PPR DN 20
33,RV25RV25,60,Van chặn phun PPR DN 25
34,RV32RV32,36,Van chặn phun PPR DN 32
35,RV40RV40,20,Van chặn phun PPR DN 40
36,RV50RV50,20,Van chặn phun PPR DN 50
37,RVC2VC20,60,Van cửa phun PPR DN 20
38,RVC2VC25,40,Van cửa phun PPR DN 25
