id,identification,number,cost,price,profit,wage,description
1,RB11B110,20,530,40000,45000,2650000,Bich_noi_ong_phun_PPR_DN_110_PN20
2,RB12B125,10,360,13000,15000,720000,Bich_noi_ong_phun_PPR_DN_125_PN20
3,RB144016,10,630,1000,5000,2520000,Bich_noi_ong_phun_PPR_DN_140_PN16
4,RB50RB50,60,150,6000,15000,1350000,Bich_noi_ong_phun_PPR_DN_50_PN20
5,RB63RB63,50,910,10000,15000,4550000,Bich_noi_ong_phun_PPR_DN_63_PN20
6,RB75RB75,50,880,35000,45000,8800000,Bich_noi_ong_phun_PPR_DN_75_PN20
7,RB90RB90,30,700,26000,35000,6300000,Bich_noi_ong_phun_PPR_DN_90_PN20
8,RDB1B110,20,810,18000,25000,5670000,Dau_bit_phun_PPR_DN_110_PN20
9,RDB2DB20,600,430,49000,55000,2580000,Dau_bit_phun_PPR_DN_20_PN20
10,RDB2DB25,360,760,18000,25000,5320000,Dau_bit_phun_PPR_DN_25_PN20
11,RDB3DB32,400,90,27000,35000,720000,Dau_bit_phun_PPR_DN_32_PN20
12,RDB4DB40,300,610,41000,45000,2440000,Dau_bit_phun_PPR_DN_40_PN20
13,RDB5DB50,120,740,32000,35000,2220000,Dau_bit_phun_PPR_DN_50_PN20
14,RDB6DB63,100,750,38000,45000,5250000,Dau_bit_phun_PPR_DN_63_PN20
15,RDB7DB75,50,60,28000,35000,420000,Dau_bit_phun_PPR_DN_75_PN20
16,RDB9DB90,30,70,37000,45000,560000,Dau_bit_phun_PPR_DN_90_PN20
17,RDKT1050,100,140,10000,15000,700000,Dai_khoi_thuy_han_cam_phun_PPR_DN110-50_PN20
18,RDKT4020,400,80,40000,45000,400000,Dai_khoi_thuy_han_cam_phun_PPR_DN_40-20_PN20
19,RDKT5020,400,80,1000,5000,320000,Dai_khoi_thuy_han_cam_phun_PPR_DN_50_-20_PN20
20,RDKT5025,320,10,42000,45000,30000,Dai_khoi_thuy_han_cam_phun_PPR_DN_50-25_PN20
21,RDKT6320,400,80,15000,25000,800000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63_-20_PN20
