id, identification, total_despatched, total_age, total_cost, total_wage, demand, flow, total_order
1, RB11B110, 0.00262322, 0.00244889, 0.00265888, 0.00265888, 0.00262322, 0.00241037, 0.00250802
2, RB12B125, 0.00262322, 0.00262459, 0.00252245, 0.00252245, 0.00262322, 0.00251021, 0.00240827
3, RB144016, 0.00262322, 0.00200069, 0.00219222, 0.00219222, 0.00262322, 0.00257107, 0.00235126
4, RB50B50X, 0.00262322, 0.00225718, 0.00200463, 0.00200463, 0.00262322, 0.00258674, 0.00233701
5, RB50RB50, 0.00262322, 0.00255084, 0.00254260, 0.00254260, 0.00262322, 0.00251021, 0.00240827
6, RB63RB63, 0.00262322, 0.00180034, 0.00231005, 0.00231005, 0.00262322, 0.00255558, 0.00236551
7, RB75RB75, 0.00262322, 0.00205276, 0.00217362, 0.00217362, 0.00262322, 0.00265141, 0.00228001
8, RB90B90X, 0.00262322, 0.00173679, 0.00183099, 0.00183099, 0.00262322, 0.00316587, 0.00190951
9, RB90RB90, 0.00262322, 0.00267292, 0.00215036, 0.00215036, 0.00262322, 0.00277272, 0.00218026
10, RDB1B110, 0.00262322, 0.00210827, 0.00236896, 0.00236896, 0.00262322, 0.00254028, 0.00237976
11, RDB2B20X, 0.00262322, 0.00271982, 0.00251780, 0.00251780, 0.00262322, 0.00246643, 0.00245102
12, RDB2B25X, 0.00262322, 0.00258463, 0.00245888, 0.00245888, 0.00262322, 0.00248085, 0.00243677
13, RDB2DB20, 0.00262322, 0.00250575, 0.00267439, 0.00267439, 0.00262322, 0.00249545, 0.00242252
14, RDB2DB25, 0.00262322, 0.00205847, 0.00214881, 0.00214881, 0.00262322, 0.00260261, 0.00232276
15, RDB3B32X, 0.00262322, 0.00214565, 0.00228524, 0.00228524, 0.00262322, 0.00251021, 0.00240827
16, RDB3DB32, 0.00262322, 0.00205390, 0.00208835, 0.00208835, 0.00262322, 0.00296662, 0.00203776
17, RDB4B40X, 0.00262322, 0.00215503, 0.00217362, 0.00217362, 0.00262322, 0.00266809, 0.00226576
18, RDB4DB40, 0.00262322, 0.00285863, 0.00231160, 0.00231160, 0.00262322, 0.00263494, 0.00229426
19, RDB5B50X, 0.00262322, 0.00206078, 0.00210385, 0.00210385, 0.00262322, 0.00268497, 0.00225151
20, RDB5DB50, 0.00262322, 0.00269064, 0.00237051, 0.00237051, 0.00262322, 0.00260261, 0.00232276
21, RDB6DB63, 0.00262322, 0.00208842, 0.00222478, 0.00222478, 0.00262322, 0.00252515, 0.00239401
22, RDB7DB75, 0.00262322, 0.00221558, 0.00238757, 0.00238757, 0.00262322, 0.00251021, 0.00240827
23, RDB9DB90, 0.00262322, 0.00264868, 0.00245268, 0.00245268, 0.00262322, 0.00260261, 0.00232276
24, RDKT1050, 0.00262322, 0.00244109, 0.00238447, 0.00238447, 0.00262322, 0.00275471, 0.00219451
25, RDKT4020, 0.00262322, 0.00270085, 0.00242478, 0.00242478, 0.00262322, 0.00249545, 0.00242252
26, RDKT5020, 0.00262322, 0.00239850, 0.00236121, 0.00236121, 0.00262322, 0.00249545, 0.00242252
27, RDKT5025, 0.00262322, 0.00231366, 0.00211160, 0.00211160, 0.00262322, 0.00288589, 0.00209476
28, RDKT6320, 0.00262322, 0.00246290, 0.00224338, 0.00224338, 0.00262322, 0.00258674, 0.00233701
29, RDKT6325, 0.00262322, 0.00250136, 0.00250229, 0.00250229, 0.00262322, 0.00241037, 0.00250802
30, RDKT6332, 0.00262322, 0.00212662, 0.00224028, 0.00224028, 0.00262322, 0.00257107, 0.00235126
31, RDKT7525, 0.00262322, 0.00266184, 0.00246043, 0.00246043, 0.00262322, 0.00241037, 0.00250802
32, RDKT7532, 0.00262322, 0.00233645, 0.00229610, 0.00229610, 0.00262322, 0.00257107, 0.00235126
33, RDKT7540, 0.00262322, 0.00195334, 0.00192711, 0.00192711, 0.00262322, 0.00284715, 0.00212326
34, RDKT9020, 0.00262322, 0.00227240, 0.00214261, 0.00214261, 0.00262322, 0.00270208, 0.00223726
35, RDKT9025, 0.00262322, 0.00213589, 0.00248369, 0.00248369, 0.00262322, 0.00257107, 0.00235126
36, RDKT9040, 0.00262322, 0.00187373, 0.00228834, 0.00228834, 0.00262322, 0.00245217, 0.00246527
37, RL11L110, 0.00262322, 0.00198291, 0.00208990, 0.00208990, 0.00262322, 0.00279096, 0.00216601
38, RL12L125, 0.00262322, 0.00244717, 0.00244803, 0.00244803, 0.00262322, 0.00260261, 0.00232276
39, RL14L140, 0.00262322, 0.00248832, 0.00257516, 0.00257516, 0.00262322, 0.00239676, 0.00252227
40, RL166016, 0.00262322, 0.00238389, 0.00231935, 0.00231935, 0.00262322, 0.00254028, 0.00237976
41, RL200016, 0.00262322, 0.00226497, 0.00237671, 0.00237671, 0.00262322, 0.00261868, 0.00230851
42, RL20L20X, 0.00262322, 0.00246786, 0.00230075, 0.00230075, 0.00262322, 0.00258674, 0.00233701
43, RL20RL20, 0.00262322, 0.00227078, 0.00236121, 0.00236121, 0.00262322, 0.00248085, 0.00243677
44, RL25L25X, 0.00262322, 0.00206119, 0.00195346, 0.00195346, 0.00262322, 0.00286639, 0.00210901
45, RL25RL25, 0.00262322, 0.00240987, 0.00235346, 0.00235346, 0.00262322, 0.00282817, 0.00213751
46, RL32L32X, 0.00262322, 0.00270290, 0.00270539, 0.00270539, 0.00262322, 0.00228078, 0.00265052
47, RL32RL32, 0.00262322, 0.00225388, 0.00233020, 0.00233020, 0.00262322, 0.00260261, 0.00232276
48, RL40L40X, 0.00262322, 0.00265580, 0.00276121, 0.00276121, 0.00262322, 0.00231817, 0.00260777
49, RL40RL40, 0.00262322, 0.00234682, 0.00240307, 0.00240307, 0.00262322, 0.00263494, 0.00229426
50, RL50L50X, 0.00262322, 0.00228347, 0.00233330, 0.00233330, 0.00262322, 0.00246643, 0.00245102
51, RL50RL50, 0.00262322, 0.00233748, 0.00255191, 0.00255191, 0.00262322, 0.00235681, 0.00256502
52, RL63L63X, 0.00262322, 0.00227610, 0.00218912, 0.00218912, 0.00262322, 0.00270208, 0.00223726
53, RL63RL63, 0.00262322, 0.00273490, 0.00260772, 0.00260772, 0.00262322, 0.00228078, 0.00265052
54, RL75L75X, 0.00262322, 0.00201571, 0.00217362, 0.00217362, 0.00262322, 0.00251021, 0.00240827
55, RL75RL75, 0.00262322, 0.00231592, 0.00229765, 0.00229765, 0.00262322, 0.00254028, 0.00237976
56, RL90L90X, 0.00262322, 0.00248816, 0.00252090, 0.00252090, 0.00262322, 0.00255558, 0.00236551
57, RL90RL90, 0.00262322, 0.00237086, 0.00236431, 0.00236431, 0.00262322, 0.00273694, 0.00220876
58, RLKR51/2, 0.00262322, 0.00224790, 0.00233641, 0.00233641, 0.00262322, 0.00252515, 0.00239401
59, RLL1L110, 0.00262322, 0.00263251, 0.00247749, 0.00247749, 0.00262322, 0.00246643, 0.00245102
60, RLL2L20X, 0.00262322, 0.00228267, 0.00231935, 0.00231935, 0.00262322, 0.00258674, 0.00233701
61, RLL2L25X, 0.00262322, 0.00198482, 0.00210230, 0.00210230, 0.00262322, 0.00288589, 0.00209476
62, RLL2LL20, 0.00262322, 0.00210835, 0.00187440, 0.00187440, 0.00262322, 0.00300869, 0.00200926
63, RLL2LL25, 0.00262322, 0.00225274, 0.00221083, 0.00221083, 0.00262322, 0.00273694, 0.00220876
64, RLL3L32X, 0.00262322, 0.00221497, 0.00204649, 0.00204649, 0.00262322, 0.00284715, 0.00212326
65, RLL3LL32, 0.00262322, 0.00239327, 0.00249299, 0.00249299, 0.00262322, 0.00248085, 0.00243677
66, RLL4L40X, 0.00262322, 0.00228510, 0.00243563, 0.00243563, 0.00262322, 0.00248085, 0.00243677
67, RLL4LL40, 0.00262322, 0.00159742, 0.00223718, 0.00223718, 0.00262322, 0.00279096, 0.00216601
68, RLL5L50X, 0.00262322, 0.00164348, 0.00193796, 0.00193796, 0.00262322, 0.00296662, 0.00203776
69, RLL5LL50, 0.00262322, 0.00281009, 0.00301082, 0.00301082, 0.00262322, 0.00212113, 0.00285002
70, RLL6L63X, 0.00262322, 0.00223746, 0.00233020, 0.00233020, 0.00262322, 0.00265141, 0.00228001
71, RLL6LL63, 0.00262322, 0.00253042, 0.00238447, 0.00238447, 0.00262322, 0.00261868, 0.00230851
72, RLL7L75X, 0.00262322, 0.00224116, 0.00214571, 0.00214571, 0.00262322, 0.00286639, 0.00210901
73, RLL7LL75, 0.00262322, 0.00251841, 0.00237206, 0.00237206, 0.00262322, 0.00255558, 0.00236551
74, RLL9LL90, 0.00262322, 0.00212720, 0.00214881, 0.00214881, 0.00262322, 0.00277272, 0.00218026
75, RLRN1/2X, 0.00262322, 0.00214195, 0.00196587, 0.00196587, 0.00262322, 0.00300869, 0.00200926
76, RLRN51/2, 0.00262322, 0.00273037, 0.00239842, 0.00239842, 0.00262322, 0.00242415, 0.00249377
77, RLRNN20X, 0.00262322, 0.00227026, 0.00235191, 0.00235191, 0.00262322, 0.00249545, 0.00242252
78, RLRNN25X, 0.00262322, 0.00211951, 0.00206974, 0.00206974, 0.00262322, 0.00286639, 0.00210901
