id, product, total_despatched, total_age, total_cost, total_wage, demand, flow, total_order
1, RB11B110, 1715, 12356366912000, 10976000, 24010000, 4.69863014, 9.74431818, 176
2, RB12B125, 1627, 13242858810000, 10412800, 22778000, 4.45753425, 9.62721893, 169
3, RB144016, 1414, 10094871799000, 9049600, 19796000, 3.87397260, 8.56969697, 165
4, RB50B50X, 1293, 11389022146000, 8275200, 18102000, 3.54246575, 7.88414634, 164
5, RB50RB50, 1640, 12870746273000, 10496000, 22960000, 4.49315068, 9.70414201, 169
6, RB63RB63, 1490, 9083968192000, 9536000, 20860000, 4.08219178, 8.97590361, 166
7, RB75RB75, 1402, 10357617400000, 8972800, 19628000, 3.84109589, 8.76250000, 160
8, RB90B90X, 1181, 8763288472000, 7558400, 16534000, 3.23561644, 8.81343284, 134
9, RB90RB90, 1387, 13486737360000, 8876800, 19418000, 3.80000000, 9.06535948, 153
10, RDB1B110, 1528, 10637658748000, 9779200, 21392000, 4.18630137, 9.14970060, 167
11, RDB2B20X, 1624, 13723398255000, 10393600, 22736000, 4.44931507, 9.44186047, 172
12, RDB2B25X, 1586, 13041266899000, 10150400, 22204000, 4.34520548, 9.27485380, 171
13, RDB2DB20, 1725, 12643249682000, 11040000, 24150000, 4.72602740, 10.14705882, 170
14, RDB2DB25, 1386, 10386418619000, 8870400, 19404000, 3.79726027, 8.50306748, 163
15, RDB3B32X, 1474, 10826286077000, 9433600, 20636000, 4.03835616, 8.72189349, 169
16, RDB3DB32, 1347, 10363344444000, 8620800, 18858000, 3.69041096, 9.41958042, 143
17, RDB4B40X, 1402, 10873609143000, 8972800, 19628000, 3.84109589, 8.81761006, 159
18, RDB4DB40, 1491, 14423771528000, 9542400, 20874000, 4.08493151, 9.26086957, 161
19, RDB5B50X, 1357, 10398076092000, 8684800, 18998000, 3.71780822, 8.58860759, 158
20, RDB5DB50, 1529, 13576153203000, 9785600, 21406000, 4.18904110, 9.38036810, 163
21, RDB6DB63, 1435, 10537537855000, 9184000, 20090000, 3.93150685, 8.54166667, 168
22, RDB7DB75, 1540, 11179113309000, 9856000, 21560000, 4.21917808, 9.11242604, 169
23, RDB9DB90, 1582, 13364414125000, 10124800, 22148000, 4.33424658, 9.70552147, 163
24, RDKT1050, 1538, 12316984923000, 9843200, 21532000, 4.21369863, 9.98701299, 154
25, RDKT4020, 1564, 13627659489000, 10009600, 21896000, 4.28493151, 9.20000000, 170
26, RDKT5020, 1523, 12102098856000, 9747200, 21322000, 4.17260274, 8.95882353, 170
27, RDKT5025, 1362, 11673996786000, 8716800, 19068000, 3.73150685, 9.26530612, 147
28, RDKT6320, 1447, 12427009471000, 9260800, 20258000, 3.96438356, 8.82317073, 164
29, RDKT6325, 1614, 12621084460000, 10329600, 22596000, 4.42191781, 9.17045455, 176
30, RDKT6332, 1445, 10730264800000, 9248000, 20230000, 3.95890411, 8.75757576, 165
31, RDKT7525, 1587, 13430813882000, 10156800, 22218000, 4.34794521, 9.01704545, 176
32, RDKT7532, 1481, 11789031818000, 9478400, 20734000, 4.05753425, 8.97575758, 165
33, RDKT7540, 1243, 9855937486000, 7955200, 17402000, 3.40547945, 8.34228188, 149
34, RDKT9020, 1382, 11465853073000, 8844800, 19348000, 3.78630137, 8.80254777, 157
35, RDKT9025, 1602, 10777061825000, 10252800, 22428000, 4.38904110, 9.70909091, 165
36, RDKT9040, 1476, 9454288454000, 9446400, 20664000, 4.04383562, 8.53179191, 173
37, RL11L110, 1348, 10005171516000, 8627200, 18872000, 3.69315068, 8.86842105, 152
38, RL12L125, 1579, 12347641143000, 10105600, 22106000, 4.32602740, 9.68711656, 163
39, RL14L140, 1661, 12555271116000, 10630400, 23254000, 4.55068493, 9.38418079, 177
40, RL166016, 1496, 12028362213000, 9574400, 20944000, 4.09863014, 8.95808383, 167
41, RL200016, 1533, 11428361593000, 9811200, 21462000, 4.20000000, 9.46296296, 162
42, RL20L20X, 1484, 12452080580000, 9497600, 20776000, 4.06575342, 9.04878049, 164
43, RL20RL20, 1523, 11457658250000, 9747200, 21322000, 4.17260274, 8.90643275, 171
