id,identification,despatch,age,cost,wage,order,demand,flow
1,RB11B110,A,B,A,A,A,4.69863014,9.74431818
2,RB12B125,A,A,A,A,B,4.45753425,9.62721893
3,RB144016,B,C,B,B,B,3.8739726,8.56969697
4,RB50B50X,C,B,C,C,B,3.54246575,7.88414634
5,RB50RB50,A,B,A,A,B,4.49315068,9.70414201
6,RB63RB63,B,C,B,B,B,4.08219178,8.97590361
7,RB75RB75,B,C,B,B,B,3.84109589,8.7625
8,RB90B90X,C,C,C,C,C,3.23561644,8.81343284
9,RB90RB90,B,A,B,B,B,3.8,9.06535948
10,RDB1B110,B,B,B,B,B,4.18630137,9.1497006
11,RDB2B20X,A,A,A,A,B,4.44931507,9.44186047
12,RDB2B25X,B,A,B,B,B,4.34520548,9.2748538
13,RDB2DB20,A,B,A,A,B,4.7260274,10.14705882
14,RDB2DB25,C,C,C,C,B,3.79726027,8.50306748
15,RDB3B32X,B,B,B,B,B,4.03835616,8.72189349
16,RDB3DB32,C,C,C,C,C,3.69041096,9.41958042
17,RDB4B40X,B,B,B,B,B,3.84109589,8.81761006
18,RDB4DB40,B,A,B,B,B,4.08493151,9.26086957
19,RDB5B50X,C,C,C,C,B,3.71780822,8.58860759
20,RDB5DB50,B,A,B,B,B,4.1890411,9.3803681
21,RDB6DB63,B,C,B,B,B,3.93150685,8.54166667
22,RDB7DB75,B,B,B,B,B,4.21917808,9.11242604
23,RDB9DB90,B,A,B,B,B,4.33424658,9.70552147
24,RDKT1050,B,B,B,B,B,4.21369863,9.98701299
25,RDKT4020,B,A,B,B,B,4.28493151,9.2
26,RDKT5020,B,B,B,B,B,4.17260274,8.95882353
27,RDKT5025,C,B,C,C,C,3.73150685,9.26530612
28,RDKT6320,B,B,B,B,B,3.96438356,8.82317073
29,RDKT6325,A,B,A,A,A,4.42191781,9.17045455
30,RDKT6332,B,B,B,B,B,3.95890411,8.75757576
31,RDKT7525,B,A,B,B,A,4.34794521,9.01704545
32,RDKT7532,B,B,B,B,B,4.05753425,8.97575758
33,RDKT7540,C,C,C,C,C,3.40547945,8.34228188
34,RDKT9020,C,B,C,C,B,3.78630137,8.80254777
35,RDKT9025,B,B,B,B,B,4.3890411,9.70909091
36,RDKT9040,B,C,B,B,A,4.04383562,8.53179191
37,RL11L110,C,C,C,C,B,3.69315068,8.86842105
38,RL12L125,B,B,B,B,B,4.3260274,9.68711656
39,RL14L140,A,B,A,A,A,4.55068493,9.38418079
40,RL166016,B,B,B,B,B,4.09863014,8.95808383
41,RL200016,B,B,B,B,B,4.2,9.46296296
42,RL20L20X,B,B,B,B,B,4.06575342,9.04878049
43,RL20RL20,B,B,B,B,B,4.17260274,8.90643275
44,RL25L25X,C,C,C,C,C,3.45205479,8.51351351
45,RL25RL25,B,B,B,B,C,4.15890411,10.12
46,RL32L32X,A,A,A,A,A,4.78082192,9.38172043
47,RL32RL32,B,B,B,B,B,4.11780822,9.2208589
48,RL40L40X,A,A,A,A,A,4.87945205,9.73224044
49,RL40RL40,B,B,B,B,B,4.24657534,9.62732919
50,RL50L50X,B,B,B,B,B,4.12328767,8.75
51,RL50RL50,A,B,A,A,A,4.50958904,9.14444444
52,RL63L63X,B,B,B,B,B,3.86849315,8.99363057
53,RL63RL63,A,A,A,A,A,4.60821918,9.04301075
54,RL75L75X,B,C,B,B,B,3.84109589,8.29585799
55,RL75RL75,B,B,B,B,B,4.06027397,8.8742515
56,RL90L90X,A,B,A,A,B,4.45479452,9.79518072
57,RL90RL90,B,B,B,B,B,4.17808219,9.83870968
58,RLKR51/2,B,B,B,B,B,4.12876712,8.9702381
59,RLL1L110,B,A,B,B,A,4.37808219,9.29069767
60,RLL2L20X,B,B,B,B,B,4.09863014,9.12195122
61,RLL2L25X,C,C,C,C,C,3.71506849,9.2244898
62,RLL2LL20,C,B,C,C,C,3.31232877,8.57446809
63,RLL2LL25,B,B,B,B,B,3.90684932,9.2
64,RLL3L32X,C,B,C,C,C,3.61643836,8.8590604
65,RLL3LL32,A,B,A,A,B,4.40547945,9.40350877
66,RLL4L40X,B,B,B,B,B,4.30410959,9.1871345
67,RLL4LL40,B,C,B,B,C,3.95342466,9.49342105
68,RLL5L50X,C,C,C,C,C,3.42465753,8.74125874
69,RLL5LL50,A,A,A,A,A,5.32054795,9.71
70,RLL6L63X,B,B,B,B,B,4.11780822,9.39375
71,RLL6LL63,B,B,B,B,B,4.21369863,9.49382716
72,RLL7L75X,C,B,C,C,C,3.79178082,9.35135135
73,RLL7LL75,B,B,B,B,B,4.19178082,9.21686747
74,RLL9LL90,C,B,C,C,B,3.79726027,9.05882353
75,RLRN1/2X,C,B,C,C,C,3.4739726,8.9929078
76,RLRN51/2,B,A,B,B,A,4.23835616,8.84
77,RLRNN20X,B,B,B,B,B,4.15616438,8.92352941
78,RLRNN25X,C,B,C,C,C,3.65753425,9.02027027
79,RLRNRN20,B,A,B,B,B,4.14520548,9.57594937
80,RLRNRN25,C,C,C,C,B,3.75616438,8.56875
81,RLRNRN32,C,C,C,C,C,3.32876712,9.0
82,RLRT1/2X,A,A,A,A,B,4.48219178,9.51162791
83,RLRT51/2,A,A,A,A,B,4.49589041,9.76785714
84,RLRTRT20,A,A,A,A,A,4.84657534,9.21354167
85,RLRTRT25,B,B,B,B,B,4.30958904,9.65030675
86,RLRTRT32,B,B,B,B,A,4.27671233,8.67222222
87,RLRTT20X,C,B,C,C,C,3.65479452,9.1369863
88,RLRTT25X,B,B,B,B,B,4.19726027,9.88387097
89,RLRTT32X,B,C,B,B,B,3.97260274,9.35483871
90,RN11N110,B,C,B,B,B,4.05753425,8.92168675
91,RN12N125,B,B,B,B,B,4.26849315,9.61728395
92,RN14N140,B,B,B,B,B,4.16986301,9.88311688
93,RN16N160,B,B,B,B,B,3.89315068,9.16774194
94,RN20N200,A,A,A,A,A,4.56164384,9.46022727
95,RN20N20X,A,A,A,A,A,5.03287671,9.61780105
96,RN20RN20,B,B,B,B,B,4.08767123,9.62580645
97,RN25N25X,B,A,B,B,B,4.08493151,9.2037037
98,RN25RN25,A,A,A,A,A,4.61643836,9.57386364
99,RN32N32X,B,B,B,B,B,4.32054795,9.33136095
100,RN32RN32,B,C,B,B,C,3.90958904,9.45033113
101,RN40N40X,B,B,B,B,B,4.07945205,9.02424242
102,RN40RN40,C,C,C,C,C,2.95068493,8.54761905
103,RN50N50X,B,B,B,B,B,4.27123288,9.62345679
104,RN50RN50,A,A,A,A,A,4.90958904,9.43157895
105,RN63N63X,B,B,B,B,B,4.12876712,9.07831325
106,RN63RN63,B,B,B,B,B,3.82191781,8.88535032
107,RN75N75X,B,B,B,B,B,4.11506849,8.88757396
108,RN75RN75,B,B,B,B,B,4.10410959,9.07878788
109,RN90RN90,B,B,B,B,B,4.16986301,8.84883721
110,RNB14010,C,C,C,C,C,3.68493151,9.02684564
111,RNB1B125,B,C,B,B,B,3.93972603,9.15923567
112,RNB1B140,A,B,A,A,A,4.45479452,9.29142857
113,RNB1B160,B,B,B,B,B,4.36712329,9.66060606
114,RNB1B180,C,B,C,C,C,3.55342466,8.70469799
115,RNB20010,B,B,B,B,B,4.29041096,9.32142857
116,RNB2B200,B,B,B,B,B,3.95616438,8.85889571
117,RNC10110,B,C,B,B,B,3.8630137,8.86792453
118,RNC10140,C,B,C,C,B,3.63013699,8.28125
119,RNC11050,A,A,A,A,A,4.71232877,9.66292135
120,RNC11063,B,A,B,B,B,3.88767123,8.54819277
121,RNC11075,B,B,B,B,B,3.93424658,9.14649682
122,RNC11090,C,B,C,C,B,3.73150685,8.84415584
123,RNC1110D,A,B,A,A,A,4.69315068,9.41208791
124,RNC14090,C,C,C,C,C,3.36986301,8.84892086
125,RNC15110,A,A,A,A,B,4.44931507,10.21383648
126,RNC20125,C,C,C,C,C,3.60547945,9.01369863
127,RNC22520,B,B,B,B,B,3.94246575,9.34415584
128,RNC2520X,B,C,B,B,C,4.02191781,9.65789474
129,RNC3220X,A,A,A,A,A,4.79726027,9.89265537
130,RNC3225X,A,A,A,A,B,4.53972603,9.63372093
131,RNC33220,B,B,B,B,B,4.25205479,9.46341463
132,RNC33225,B,C,B,B,B,3.82191781,9.0
133,RNC4020X,B,B,B,B,B,4.2739726,9.93630573
134,RNC4025X,A,B,A,A,B,4.52328767,9.76923077
135,RNC4032X,B,B,B,B,B,4.27945205,9.29761905
136,RNC44020,B,A,B,B,A,4.14794521,8.41111111
137,RNC44025,B,B,B,B,B,3.91232877,8.7607362
138,RNC44032,B,C,B,B,B,3.88493151,8.8625
139,RNC5020X,A,A,A,A,B,4.51232877,9.63157895
140,RNC5025X,B,B,B,B,B,3.81917808,8.7672956
141,RNC5032X,B,B,B,B,B,3.93972603,8.61077844
142,RNC5040X,A,B,A,A,A,4.67123288,9.16666667
143,RNC55020,C,C,C,C,C,3.54794521,8.69127517
144,RNC55025,B,B,B,B,B,4.23287671,9.25149701
145,RNC55032,B,B,B,B,B,3.93424658,8.54761905
146,RNC55040,B,C,B,B,B,4.0109589,8.66272189
147,RNC6340X,B,B,B,B,B,3.82465753,8.89171975
148,RNC6350X,B,C,B,B,A,3.92876712,8.14772727
149,RNC66325,B,B,B,B,B,4.35616438,9.75460123
150,RNC66332,B,C,B,B,B,4.01643836,8.93902439
151,RNC66340,B,B,B,B,B,4.13972603,9.56329114
152,RNC66350,B,A,B,B,A,4.26027397,8.98843931
153,RNC7540X,B,B,B,B,B,4.06849315,9.11042945
154,RNC7563X,B,B,B,B,B,4.2739726,10.0
155,RNC77532,B,B,B,B,B,4.25479452,9.2994012
156,RNC77540,A,A,A,A,A,4.68219178,9.04232804
157,RNC77550,B,B,B,B,C,3.97534247,9.67333333
158,RNC77563,A,A,A,A,B,4.56986301,10.04819277
159,RNC9075X,B,B,B,B,B,4.17260274,9.28658537
160,RNC99050,B,B,B,B,B,4.04657534,9.17391304
161,RNC99063,B,B,B,B,C,3.87671233,9.37086093
162,RNC99075,B,A,B,B,B,4.28219178,9.19411765
163,RNRN1/2X,B,B,B,B,B,3.84383562,8.55487805
164,RNRN51/2,C,B,C,C,B,3.77808219,9.07236842
165,RNRNN110,B,B,B,B,B,4.19178082,9.05325444
166,RNRNN20X,B,C,B,B,B,4.01643836,8.99386503
167,RNRNN25X,B,B,B,B,B,4.16712329,9.27439024
168,RNRNN32X,B,C,B,B,C,4.09041096,10.02013423
169,RNRNN40X,B,B,B,B,B,3.83013699,8.68322981
170,RNRNN50X,B,B,B,B,B,4.24931507,9.63354037
171,RNRNN63X,B,B,B,B,B,4.17260274,9.40123457
172,RNRNRN20,C,C,C,C,B,3.74794521,8.76923077
173,RNRNRN25,A,A,A,A,A,4.60273973,9.33333333
174,RNRNRN32,B,C,B,B,B,4.10684932,9.5477707
175,RNRNRN40,C,B,C,C,B,3.78630137,8.85897436
176,RNRNRN50,B,B,B,B,C,3.84383562,9.29139073
177,RNRNRN63,B,B,B,B,B,3.98630137,9.20886076
178,RNRNRN75,B,B,B,B,B,4.04109589,9.33544304
179,RNRNRN90,A,A,A,A,A,4.84931507,9.88826816
180,RNRT1/2X,C,C,C,C,B,3.62739726,7.97590361
181,RNRT1010,B,B,B,B,B,3.87123288,8.66871166
182,RNRT51/2,B,B,B,B,B,4.17808219,9.13173653
183,RNRTRT20,B,B,B,B,B,3.94794521,9.41830065
184,RNRTRT25,B,B,B,B,B,3.97808219,8.96296296
185,RNRTRT32,C,C,C,C,C,3.04931507,9.04878049
186,RNRTRT40,C,C,C,C,B,3.78356164,9.02614379
187,RNRTRT50,C,C,C,C,C,3.33424658,9.36153846
188,RNRTRT63,B,B,B,B,B,4.20821918,9.19760479
189,RNRTRT75,B,B,B,B,B,4.29315068,9.85534591
190,RNRTRT90,B,C,B,B,C,3.81917808,9.4829932
191,RNRTT20X,B,B,B,B,B,3.84383562,8.35119048
192,RNRTT25X,B,B,B,B,B,4.05205479,9.54193548
193,RNRTT32X,A,A,A,A,A,4.83287671,9.96610169
194,RNRTT40X,B,B,B,B,B,3.90958904,8.80864198
195,RNRTT50X,B,C,B,B,B,3.91780822,8.88198758
196,ROT2OT20,C,B,C,C,C,3.5890411,9.22535211
197,ROT2OT25,B,C,B,B,B,3.87123288,9.11612903
198,ROT2T20X,B,B,B,B,B,4.20273973,9.18562874
199,ROT2T25X,B,B,B,B,A,4.34794521,8.81666667
200,RT11T110,B,B,B,B,C,4.14520548,10.29251701
201,RT12T125,B,B,B,B,B,4.04931507,9.5974026
202,RT14T140,B,A,B,B,B,4.09589041,8.95209581
203,RT166016,A,B,A,A,B,4.49041096,9.81437126
204,RT20RT20,B,B,B,B,B,4.08493151,8.66860465
205,RT20T20X,B,B,B,B,B,4.32054795,9.27647059
206,RT25RT25,A,B,A,A,A,4.55342466,8.93548387
207,RT25T25X,B,B,B,B,B,4.19726027,9.51552795
208,RT32RT32,B,B,B,B,B,3.93150685,9.02515723
209,RT32T32X,B,B,B,B,B,4.10958904,9.20245399
210,RT40RT40,A,B,A,A,A,4.49315068,9.53488372
211,RT40T40X,A,B,A,A,B,4.45205479,9.61538462
212,RT50RT50,B,B,B,B,C,4.02739726,9.86577181
213,RT50T50X,B,B,B,B,B,4.06027397,9.2625
214,RT63RT63,B,B,B,B,B,3.82465753,8.89171975
215,RT63T63X,B,B,B,B,B,4.15890411,9.2
216,RT75RT75,B,B,B,B,B,4.10958904,9.14634146
217,RT75T75X,B,B,B,B,A,4.36986301,8.57526882
218,RT90RT90,B,B,B,B,B,3.95068493,9.4248366
219,RTC11063,B,A,B,B,B,4.12328767,9.06626506
220,RTC11075,B,B,B,B,B,4.06849315,9.33962264
221,RTC11090,B,A,B,B,B,4.39452055,9.7804878
222,RTC14075,B,B,B,B,B,4.36438356,9.77300613
223,RTC22520,C,B,C,C,A,3.75616438,7.92485549
224,RTC24016,C,C,C,C,C,3.30958904,8.62857143
225,RTC2520X,B,B,B,B,A,4.12876712,8.71098266
226,RTC3220X,B,B,B,B,C,3.82465753,9.43243243
227,RTC3225X,C,C,C,C,C,3.64931507,8.93959732
228,RTC33220,C,B,C,C,C,3.74794521,9.70212766
229,RTC33225,B,B,B,B,B,3.86027397,9.09032258
230,RTC4025X,B,B,B,B,B,4.27123288,9.17058824
231,RTC4032X,B,A,B,B,B,4.31232877,9.4251497
232,RTC44020,A,A,A,A,A,4.9260274,9.51322751
233,RTC44025,A,A,A,A,A,4.83561644,9.64480874
234,RTC44032,C,C,C,C,C,3.40273973,8.87142857
235,RTC5025X,A,B,A,A,A,4.76164384,9.34408602
236,RTC5032X,C,B,C,C,C,3.76712329,9.22818792
237,RTC5040X,B,B,B,B,B,3.86849315,8.55757576
238,RTC55020,B,C,B,B,B,3.93424658,8.65060241
239,RTC55025,A,A,A,A,A,4.61643836,9.62857143
240,RTC55032,C,C,C,C,C,3.7890411,9.47260274
241,RTC55040,B,B,B,B,B,4.10136986,9.12804878
242,RTC6016X,C,B,C,C,B,3.75616438,8.9025974
243,RTC6216X,B,A,B,B,A,4.03287671,8.45977011
244,RTC6350X,B,B,B,B,C,3.81917808,9.4829932
245,RTC6516X,A,B,A,A,A,4.63835616,9.20108696
246,RTC66325,B,C,B,B,B,4.03835616,9.63398693
247,RTC66332,A,B,A,A,A,4.81369863,9.87078652
248,RTC66340,A,A,A,A,A,4.66027397,9.0
249,RTC66350,A,A,A,A,A,4.55616438,9.39548023
250,RTC7550X,A,B,A,A,B,4.45205479,10.28481013
251,RTC7563X,B,B,B,B,B,3.85479452,9.25657895
252,RTC77532,B,B,B,B,A,4.36164384,8.89385475
253,RTC77540,C,C,C,C,B,3.4,8.11111111
254,RTC77550,B,B,B,B,B,4.16712329,9.33128834
255,RTC77563,B,B,B,B,B,4.26575342,9.10526316
256,RTC9050X,A,B,A,A,A,4.40821918,8.98882682
257,RTC99050,B,B,B,B,B,4.35890411,9.41420118
258,RTC99063,B,B,B,B,B,4.00821918,9.5620915
259,RTC99075,C,C,C,C,C,3.52054795,9.04929577
260,RTRN1/2X,B,B,B,B,B,4.22739726,9.46625767
261,RTRN51/2,B,B,B,B,B,4.33150685,9.6993865
262,RTRNN20X,B,C,B,B,C,3.96164384,9.64
263,RTRNN25X,A,B,A,A,B,4.54246575,9.69590643
264,RTRNRN20,C,C,C,C,C,3.3260274,8.2585034
265,RTRNRN25,B,B,B,B,B,3.92876712,8.69090909
266,RTRNRN32,C,B,C,C,B,3.69041096,8.52531646
267,RTRT1/2X,C,C,C,C,C,3.3890411,9.6640625
268,RTRT51/2,A,B,A,A,A,4.42191781,8.96666667
269,RTRTRT20,A,A,A,A,A,4.59452055,9.47457627
270,RTRTRT25,C,C,C,C,C,3.43835616,8.83802817
271,RTRTRT32,B,C,B,B,B,3.85753425,8.96815287
272,RTRTT20X,B,C,B,B,B,3.99726027,9.3525641
273,RTRTT25X,B,B,B,B,C,3.90958904,9.45033113
274,RTRTT32X,B,B,B,B,B,4.17534247,9.46583851
275,RUB5UB50,A,B,A,A,B,4.43013699,9.40116279
276,RUDBDB20,B,B,B,B,B,3.82465753,9.12418301
277,RUDBDB25,A,A,A,A,A,4.60821918,9.39664804
278,RUDBDB32,B,B,B,B,A,4.35890411,9.03977273
279,RUDBDB40,B,B,B,B,B,4.38082192,10.38311688
280,RUDBDB50,A,B,A,A,A,4.91232877,9.10152284
281,RUL2UL20,B,B,B,B,B,3.84109589,8.60122699
282,RUL2UL25,B,B,B,B,B,4.22465753,9.17857143
283,RUL3UL32,B,A,B,B,B,4.31232877,9.48192771
284,RUL4UL40,B,B,B,B,B,3.82739726,9.13071895
285,RUL5UL50,A,B,A,A,A,4.74794521,9.07329843
286,RUL6UL63,B,B,B,B,B,3.91780822,8.9375
287,RULK51/2,B,B,B,B,B,4.02191781,9.00613497
288,RULLLL20,C,C,C,C,C,3.7260274,10.14925373
289,RULLLL25,B,B,B,B,B,3.80547945,8.84713376
290,RULLLL32,B,C,B,B,B,3.90136986,8.79012346
291,RULLLL40,A,A,A,A,B,4.46575342,9.53216374
292,RULLLL50,C,B,C,C,C,3.40273973,8.87142857
293,RULLLL63,C,C,C,C,C,3.74520548,9.42758621
294,RULR1/2D,C,C,C,C,C,3.14520548,8.96875
295,RULR51/2,B,B,B,B,A,4.29315068,9.05780347
296,RULRRN20,B,B,B,B,B,4.34520548,9.2748538
297,RULRRN25,C,C,C,C,C,3.33424658,8.22297297
298,RULRRT20,A,B,A,A,B,4.49315068,9.53488372
299,RULRRT25,B,B,B,B,A,4.37808219,9.13142857
300,RUN2UN20,B,B,B,B,C,3.97534247,9.73825503
301,RUN2UN25,B,B,B,B,C,3.8630137,10.07142857
302,RUN3UN32,C,C,C,C,C,3.76712329,9.10596026
303,RUN4UN40,C,B,C,C,C,3.75068493,9.06622517
304,RUN5UN50,B,B,B,B,B,3.90958904,8.97484277
305,RUN6UN63,B,B,B,B,B,4.05479452,9.02439024
306,RUNC2520,A,B,A,A,A,4.40547945,9.08474576
307,RUNC3220,B,B,B,B,B,4.09315068,9.0
308,RUNC3225,A,A,A,A,A,4.6630137,9.25
309,RUNC4020,B,C,B,B,C,4.05479452,9.86666667
310,RUNC4025,C,C,C,C,B,3.76712329,8.75796178
311,RUNC4032,A,B,A,A,A,4.62739726,9.54237288
312,RUNC5020,B,B,B,B,B,4.08219178,8.97590361
313,RUNC5025,A,B,A,A,A,4.40821918,8.65053763
314,RUNC5032,C,B,C,C,C,3.74794521,9.05960265
315,RUNC5040,A,A,A,A,A,4.57534247,9.12568306
316,RUNC6332,B,B,B,B,B,4.09315068,9.51592357
317,RUNC6340,B,B,B,B,B,4.15616438,9.08383234
318,RUNC6350,C,B,C,C,C,3.79726027,9.30201342
319,RUNR1/2D,B,B,B,B,C,3.94246575,9.72297297
320,RUNR51/2,B,B,B,B,B,4.25753425,9.30538922
321,RUNRRN20,B,B,B,B,C,3.90410959,9.56375839
322,RUNRRN25,B,C,B,B,B,4.1890411,9.4382716
323,RUNRRN32,B,B,B,B,B,4.31780822,9.4939759
324,RUNRRN40,C,C,C,C,C,3.33150685,9.00740741
325,RUNRRN50,B,B,B,B,A,4.31506849,9.15697674
326,RUNRRN63,B,C,B,B,B,3.95890411,9.20382166
327,RUNRRT20,B,A,B,B,B,4.29041096,9.72670807
328,RUNRRT25,B,B,B,B,B,4.08493151,8.875
329,RUNRRT32,B,B,B,B,A,4.24383562,8.75141243
330,RUNRRT40,B,C,B,B,B,4.10136986,9.35625
331,RUNRRT50,B,C,B,B,C,3.79726027,9.17880795
332,RUNRRT63,B,B,B,B,B,4.16164384,9.67515924
333,RUOT2020,C,C,C,C,C,3.70958904,9.2739726
334,RUOTOT25,B,B,B,B,B,4.0109589,9.20754717
335,RUT2UT20,B,A,B,B,B,4.2739726,9.34131737
336,RUT2UT25,A,B,A,A,A,4.47123288,9.16853933
337,RUT3UT32,B,B,B,B,B,4.2630137,9.54601227
