Log file for data_sample.py
Start time: 2023-08-02 20:17:53.499132
[ID:1| Order KDO7FITFAI created | Generated 8079 items | Pending 75974137 items]
[ID:2| Order W1EVBE4F4U created | Generated 13289 items | Pending 75968927 items]
[ID:3| Order KQ6ITI10FT created | Generated 16649 items | Pending 75965567 items]
[ID:4| Order QJAJPXWHD8 created | Generated 26764 items | Pending 75955452 items]
[ID:5| Order RK640HTPGV created | Generated 65430 items | Pending 75916786 items]
[ID:6| Order DHPGUFBM74 created | Generated 86717 items | Pending 75895499 items]
[ID:7| Order 8NAQ1WJFM5 created | Generated 108473 items | Pending 75873743 items]
[ID:8| Order UHG7NXXBMN created | Generated 127342 items | Pending 75854874 items]
[ID:9| Order 58K0IX746V created | Generated 136168 items | Pending 75846048 items]
[ID:10| Order QBK31A4DRW created | Generated 173675 items | Pending 75808541 items]
[ID:11| Order VGEA5A8G7H created | Generated 210896 items | Pending 75771320 items]
[ID:12| Order PKORS4RVNS created | Generated 227280 items | Pending 75754936 items]
[ID:13| Order IFZU6F1CHF created | Generated 229735 items | Pending 75752481 items]
[ID:14| Order INQBCXP5YR created | Generated 238885 items | Pending 75743331 items]
[ID:15| Order LFZY0AUKJB created | Generated 281140 items | Pending 75701076 items]
[ID:16| Order O097UGK1LE created | Generated 293628 items | Pending 75688588 items]
[ID:17| Order FSCZHOHAKA created | Generated 297136 items | Pending 75685080 items]
[ID:18| Order HHMQ9YA1EX created | Generated 342921 items | Pending 75639295 items]
[ID:19| Order MA9O33Z2DH created | Generated 365998 items | Pending 75616218 items]
[ID:20| Order LTJMZSB3ZN created | Generated 370236 items | Pending 75611980 items]
[ID:21| Order K8LGJIN5M4 created | Generated 378223 items | Pending 75603993 items]
[ID:22| Order EIEHI13RQQ created | Generated 381496 items | Pending 75600720 items]
[ID:23| Order 24C1P5FUPZ created | Generated 388617 items | Pending 75593599 items]
[ID:24| Order 8SLA47CX3Q created | Generated 405458 items | Pending 75576758 items]
[ID:25| Order QGHS9SWGY3 created | Generated 407918 items | Pending 75574298 items]
[ID:26| Order NO667WJ1EK created | Generated 459582 items | Pending 75522634 items]
[ID:27| Order O5L9Y2DD7N created | Generated 464726 items | Pending 75517490 items]
[ID:28| Order VNDG1TP51S created | Generated 517640 items | Pending 75464576 items]
[ID:29| Order 6TC2QQM8QF created | Generated 521680 items | Pending 75460536 items]
[ID:30| Order TBK2LBIU8Y created | Generated 527906 items | Pending 75454310 items]
[ID:31| Order DVWROJ0YYQ created | Generated 569026 items | Pending 75413190 items]
[ID:32| Order U2VLFOTD3R created | Generated 619828 items | Pending 75362388 items]
[ID:33| Order RI10W8N9MP created | Generated 625856 items | Pending 75356360 items]
[ID:34| Order X0XHXUW5CC created | Generated 674132 items | Pending 75308084 items]
[ID:35| Order OMOKUGX64F created | Generated 681317 items | Pending 75300899 items]
[ID:36| Order V4AU5FIXYW created | Generated 715616 items | Pending 75266600 items]
[ID:37| Order R2NHJXDM65 created | Generated 747886 items | Pending 75234330 items]
[ID:38| Order O32SU4F509 created | Generated 782933 items | Pending 75199283 items]
[ID:39| Order MXCANIIDM2 created | Generated 805995 items | Pending 75176221 items]
[ID:40| Order N45SS41SV0 created | Generated 815805 items | Pending 75166411 items]
[ID:41| Order BB9175F0L4 created | Generated 855935 items | Pending 75126281 items]
[ID:42| Order SMKAATMM4M created | Generated 876206 items | Pending 75106010 items]
[ID:43| Order S3X69Z6VJY created | Generated 898904 items | Pending 75083312 items]
[ID:44| Order 2NCV53CDWE created | Generated 936092 items | Pending 75046124 items]
[ID:45| Order MX7Z24C8H2 created | Generated 980979 items | Pending 75001237 items]
[ID:46| Order J5RF5LP2Q4 created | Generated 1002997 items | Pending 74979219 items]
[ID:47| Order 2FRBTAVDNN created | Generated 1003377 items | Pending 74978839 items]
[ID:48| Order ZGPFH7B9PH created | Generated 1041276 items | Pending 74940940 items]
[ID:49| Order 12O2XWNM5Z created | Generated 1063247 items | Pending 74918969 items]
[ID:50| Order 3TBZDGXNB3 created | Generated 1076933 items | Pending 74905283 items]
[ID:51| Order 4R5PCV6WQ8 created | Generated 1095976 items | Pending 74886240 items]
[ID:52| Order 2MDUITTGUJ created | Generated 1100611 items | Pending 74881605 items]
[ID:53| Order RP933UE5CU created | Generated 1122822 items | Pending 74859394 items]
[ID:54| Order EUIYQBD1NO created | Generated 1128140 items | Pending 74854076 items]
[ID:55| Order SWXSJ9W1N7 created | Generated 1141163 items | Pending 74841053 items]
[ID:56| Order GES5SU23BM created | Generated 1155448 items | Pending 74826768 items]
[ID:57| Order MF8QG3F9SL created | Generated 1161875 items | Pending 74820341 items]
[ID:58| Order OKC3QMM0NR created | Generated 1193687 items | Pending 74788529 items]
[ID:59| Order OG0WL0WLWR created | Generated 1218414 items | Pending 74763802 items]
[ID:60| Order WBX7SPHSLD created | Generated 1221304 items | Pending 74760912 items]
[ID:61| Order GKYPF4047M created | Generated 1266423 items | Pending 74715793 items]
[ID:62| Order 1XCZWGZTUV created | Generated 1308736 items | Pending 74673480 items]
[ID:63| Order ZNPT4F2L3G created | Generated 1314239 items | Pending 74667977 items]
[ID:64| Order 4798F8SP2Z created | Generated 1362582 items | Pending 74619634 items]
[ID:65| Order KYE8L2MA6C created | Generated 1393045 items | Pending 74589171 items]
[ID:66| Order 77AUEUGSIC created | Generated 1433915 items | Pending 74548301 items]
[ID:67| Order EVQB02IUU0 created | Generated 1439514 items | Pending 74542702 items]
[ID:68| Order QGE170DD5X created | Generated 1475186 items | Pending 74507030 items]
[ID:69| Order XS1G2PQK01 created | Generated 1522863 items | Pending 74459353 items]
[ID:70| Order K0NIIVJ057 created | Generated 1525188 items | Pending 74457028 items]
[ID:71| Order LT02M3G2R6 created | Generated 1551012 items | Pending 74431204 items]
[ID:72| Order IUDI2U4AEF created | Generated 1588372 items | Pending 74393844 items]
[ID:73| Order F41LWMO0EZ created | Generated 1641557 items | Pending 74340659 items]
[ID:74| Order VOD5PR90RP created | Generated 1675567 items | Pending 74306649 items]
[ID:75| Order 4ISVKMJKGU created | Generated 1695574 items | Pending 74286642 items]
[ID:76| Order J017NEJ9IO created | Generated 1700628 items | Pending 74281588 items]
[ID:77| Order QRWZSPZEMQ created | Generated 1709112 items | Pending 74273104 items]
[ID:78| Order 0I4FX7J1X2 created | Generated 1746396 items | Pending 74235820 items]
[ID:79| Order PP2ZJATMX7 created | Generated 1754776 items | Pending 74227440 items]
[ID:80| Order ZN48NFWAOH created | Generated 1781038 items | Pending 74201178 items]
[ID:81| Order 6KNW95OJ56 created | Generated 1808933 items | Pending 74173283 items]
[ID:82| Order D9U2NWITVA created | Generated 1830787 items | Pending 74151429 items]
[ID:83| Order SQKVFDJFB6 created | Generated 1880997 items | Pending 74101219 items]
[ID:84| Order COU9WV9T2I created | Generated 1889650 items | Pending 74092566 items]
[ID:85| Order EBNS0DVRMJ created | Generated 1912240 items | Pending 74069976 items]
[ID:86| Order DBFGLRFLAH created | Generated 1942334 items | Pending 74039882 items]
[ID:87| Order DPY410PQS6 created | Generated 1976368 items | Pending 74005848 items]
[ID:88| Order DONK9JPEYZ created | Generated 2020193 items | Pending 73962023 items]
[ID:89| Order 0B4107D6JQ created | Generated 2069195 items | Pending 73913021 items]
[ID:90| Order KOYVBE6K66 created | Generated 2093942 items | Pending 73888274 items]
[ID:91| Order RSFIMLFJT9 created | Generated 2137213 items | Pending 73845003 items]
[ID:92| Order 8C7F70XQ4N created | Generated 2160404 items | Pending 73821812 items]
[ID:93| Order EEGK07SLVZ created | Generated 2188341 items | Pending 73793875 items]
