id,order_code,number_of_different_product,received_timestamp,despatch_timestamp,order_time
1,KDO7FITFAI,71,2019-12-11,2019-12-17,6
2,W1EVBE4F4U,40,2019-02-01,2019-02-06,5
3,KQ6ITI10FT,28,2019-10-16,2019-10-19,3
4,QJAJPXWHD8,79,2019-03-27,2019-03-29,2
5,RK640HTPGV,311,2019-01-22,2019-01-29,7
6,DHPGUFBM74,170,2019-01-22,2019-01-22,0
7,8NAQ1WJFM5,194,2019-08-21,2019-08-23,2
8,UHG7NXXBMN,142,2019-10-14,2019-10-19,5
9,58K0IX746V,83,2019-07-02,2019-07-05,3
10,QBK31A4DRW,325,2019-03-12,2019-03-18,6
11,VGEA5A8G7H,320,2019-01-04,2019-01-10,6
12,PKORS4RVNS,146,2019-07-03,2019-07-10,7
13,IFZU6F1CHF,30,2019-01-15,2019-01-17,2
14,INQBCXP5YR,78,2019-09-16,2019-09-17,1
15,LFZY0AUKJB,383,2019-08-09,2019-08-12,3
16,O097UGK1LE,116,2019-05-13,2019-05-20,7
17,FSCZHOHAKA,31,2019-01-20,2019-01-25,5
18,HHMQ9YA1EX,401,2019-12-28,2019-12-29,1
19,MA9O33Z2DH,189,2019-08-14,2019-08-17,3
20,LTJMZSB3ZN,35,2019-10-19,2019-10-23,4
21,K8LGJIN5M4,55,2019-01-18,2019-01-22,4
22,EIEHI13RQQ,25,2019-01-04,2019-01-10,6
23,24C1P5FUPZ,71,2019-10-18,2019-10-21,3
24,8SLA47CX3Q,154,2019-09-12,2019-09-16,4
25,QGHS9SWGY3,21,2019-03-29,2019-04-04,6
26,NO667WJ1EK,407,2019-11-19,2019-11-25,6
27,O5L9Y2DD7N,36,2019-01-02,2019-01-05,3
28,VNDG1TP51S,407,2019-10-23,2019-10-29,6
29,6TC2QQM8QF,34,2019-03-11,2019-03-13,2
30,TBK2LBIU8Y,77,2019-11-03,2019-11-05,2
31,DVWROJ0YYQ,384,2019-08-12,2019-08-12,0
32,U2VLFOTD3R,415,2019-04-03,2019-04-05,2
33,RI10W8N9MP,53,2019-12-14,2019-12-21,7
