id,order_code,number_of_different_product,received_timestamp,despatch_timestamp,order_time
1,I60CPTIY49,385,2019-07-05,2019-07-10,5
2,OMTA8VGLP7,323,2019-03-28,2019-04-04,7
3,ZU1BLPVMWE,385,2019-05-31,2019-06-03,3
4,5R44NQPT2R,24,2019-05-31,2019-06-04,4
5,A4J2WA92AB,291,2019-11-02,2019-11-09,7
6,RWT42W320H,379,2019-11-24,2019-11-26,2
7,SVBGVI3SET,223,2019-12-28,2020-01-01,4
8,P86GZKPYWO,420,2019-09-21,2019-09-27,6
9,6K25VV3X8S,132,2019-07-04,2019-07-08,4
10,R5CTYR8HWP,120,2019-03-08,2019-03-14,6
11,CDVJGL5LW3,336,2019-01-04,2019-01-05,1
12,67BJ5D8591,215,2019-11-14,2019-11-15,1
13,Y30BHCRSWX,24,2019-01-12,2019-01-16,4
14,3A4TF8GZDE,294,2019-10-25,2019-10-29,4
15,AJE6YKU5K1,364,2019-10-01,2019-10-08,7
16,M7G1IP8RIT,360,2019-08-12,2019-08-12,0
17,F4ZF5E3S2G,309,2019-11-28,2019-11-30,2
18,NRDT2RBH5E,191,2019-01-29,2019-02-01,3
19,DX59AG5V1K,177,2019-04-14,2019-04-20,6
20,K6UXZPPFGQ,178,2019-01-08,2019-01-08,0
21,GK7QBV5RYN,280,2019-11-15,2019-11-21,6
22,95UEXXBG7E,283,2019-11-13,2019-11-17,4
23,0ULAS5NA21,364,2019-03-05,2019-03-07,2
24,ES0CHFV9JM,97,2019-06-26,2019-06-27,1
25,A2ABCAAHRS,96,2019-10-19,2019-10-21,2
26,F8ADW591BM,52,2019-11-25,2019-11-26,1
27,KZ234Y9A76,332,2019-04-25,2019-05-02,7
28,DK20Y2WEV8,336,2019-03-15,2019-03-20,5
29,VN5JE8W28W,139,2019-07-31,2019-08-02,2
30,538FFPDF56,97,2019-11-24,2019-11-26,2
31,IMJXGOP2Y7,419,2019-05-11,2019-05-11,0
32,YND2LXH8NN,114,2019-07-11,2019-07-17,6
33,6X2F1YK3RD,426,2019-08-06,2019-08-12,6
34,P3RZYZ2P7L,272,2019-07-07,2019-07-07,0
35,E7BEEE0BFZ,192,2019-06-17,2019-06-24,7
36,TYXEONKLTI,271,2019-06-16,2019-06-21,5
37,H49USZPGPQ,188,2019-09-22,2019-09-24,2
38,TSHUGJBGYU,380,2019-09-26,2019-09-26,0
39,U7SOL5GYQT,278,2019-02-01,2019-02-02,1
40,C069ZWMC0N,107,2019-03-09,2019-03-12,3
41,TU5H4IJHEB,61,2019-03-01,2019-03-03,2
42,A9JO8961AN,58,2019-10-12,2019-10-14,2
43,0NQZXDGK8V,357,2019-08-20,2019-08-23,3
44,LMLOKM3YA8,216,2019-06-06,2019-06-11,5
45,XCAXBM8QBY,315,2019-08-11,2019-08-12,1
46,9TN983FTHC,391,2019-07-22,2019-07-28,6
47,KKHJ0N6ON9,423,2019-01-07,2019-01-12,5
