id,order_code,number_of_different_product,received_timestamp,despatch_timestamp,order_time
1,I7NAC4ETMO,3,2019-10-19,2019-10-21,2
2,3HZ56OY63F,342,2019-01-26,2019-02-02,7
3,FXNJJ4EITS,247,2019-11-26,2019-12-01,5
4,8H2CHVTCMY,259,2019-11-11,2019-11-18,7
5,F5M2UT9B4E,330,2019-03-28,2019-04-02,5
6,J6E1W2KZ4J,312,2019-01-03,2019-01-09,6
7,KB2JF77QXX,111,2019-07-24,2019-07-24,0
8,Z14HT9O5J6,43,2019-06-24,2019-06-24,0
9,8I14SCNIQC,214,2019-10-31,2019-10-31,0
10,I9C5XR35K3,70,2019-10-18,2019-10-25,7
11,CJE54RKTOQ,68,2019-02-02,2019-02-08,6
12,1BNT8XM42L,250,2019-11-25,2019-11-25,0
13,I8ZZWFW12F,6,2019-06-06,2019-06-06,0
14,ONED6VWJIB,180,2019-05-19,2019-05-25,6
15,VH4WAFQ1LE,63,2019-04-09,2019-04-10,1
16,KG94SZHL9J,155,2019-03-06,2019-03-07,1
17,AJUINB0M77,108,2019-11-12,2019-11-19,7
18,T6RG7P9FGE,364,2019-08-22,2019-08-25,3
19,9VNU0AGL6L,364,2019-05-29,2019-06-03,5
20,Z0CHXAE6HI,60,2019-10-14,2019-10-18,4
21,NAG6N3Y4MM,194,2019-04-18,2019-04-19,1
22,299R9HS8ZF,18,2019-08-04,2019-08-11,7
23,7KG6RICIE9,377,2019-11-06,2019-11-07,1
24,J463AB8ZIY,409,2019-07-06,2019-07-12,6
25,1EBM8R8ZH1,274,2019-10-14,2019-10-16,2
26,QFWJR946H5,130,2019-04-03,2019-04-04,1
27,TLT1QP3IVK,115,2019-03-15,2019-03-20,5
28,OG7R05FC4C,426,2019-11-04,2019-11-09,5
29,HRJIJ1BI00,153,2019-02-05,2019-02-05,0
30,Q8IBBLC97H,426,2019-04-14,2019-04-20,6
31,ZHURGP885M,159,2019-04-12,2019-04-17,5
32,160SPHJ8L9,256,2019-03-25,2019-03-30,5
33,UJEYTDCONZ,416,2019-02-23,2019-03-01,6
34,7KN9BLO2BF,77,2019-10-04,2019-10-09,5
35,WHTWZLG96C,228,2019-12-05,2019-12-05,0
36,1C5XJ4IA4R,166,2019-06-04,2019-06-05,1
37,J0ZMLTJMSO,148,2019-08-29,2019-08-29,0
38,BPNX7WQW0J,175,2019-06-10,2019-06-13,3
39,79TY7WYZB1,160,2019-03-16,2019-03-16,0
40,5QSZRW63DS,23,2019-06-11,2019-06-13,2
41,5BTU4U7I3A,99,2019-11-21,2019-11-24,3
42,QSYVD8U2SM,1,2019-11-10,2019-11-14,4
43,9F68D6OSNX,385,2019-06-15,2019-06-16,1
44,64A20PXA4P,186,2019-01-21,2019-01-23,2
45,C7BPY2S3CO,107,2019-06-17,2019-06-19,2
46,K66X2IYMWL,154,2019-02-11,2019-02-18,7
47,2HN555V5BR,298,2019-01-21,2019-01-25,4
48,A2XT7DO2DK,427,2019-01-06,2019-01-08,2
49,I894DWKGMR,263,2019-05-06,2019-05-13,7
50,R35QH9O63F,429,2019-10-13,2019-10-17,4
51,6G7BUZKLBX,319,2019-06-14,2019-06-19,5
52,OVSDWN1R06,31,2019-03-17,2019-03-19,2
53,G6UR7M1NIL,341,2019-04-24,2019-04-29,5
54,55A4S6RRST,257,2019-03-23,2019-03-28,5
55,CE7THM5SFZ,211,2019-03-15,2019-03-22,7
56,09HZUQY502,212,2019-10-26,2019-10-27,1
57,WJ0M6HMVVX,314,2019-12-26,2019-12-31,5
58,N8GHDS11CG,9,2019-01-10,2019-01-16,6
59,AFPBPHAAJV,315,2019-07-31,2019-08-07,7
60,H9PU8LE4O2,276,2019-12-26,2019-12-26,0
61,IT20EFMCGN,336,2019-07-11,2019-07-15,4
62,94LYSY0V71,166,2019-06-18,2019-06-18,0
63,F3WWDHQQGD,433,2019-09-10,2019-09-14,4
64,AB6CSP2Q7Q,195,2019-06-26,2019-06-27,1
65,S3TNAGVH0B,423,2019-06-29,2019-06-30,1
66,N0KMYJIYZL,132,2019-12-09,2019-12-16,7
67,BW9QDDTTXX,14,2019-08-02,2019-08-04,2
68,TULSAJS984,8,2019-12-17,2019-12-23,6
69,I0AW2YLIRA,287,2019-05-28,2019-06-01,4
70,HURNW3988H,87,2019-05-30,2019-06-05,6
71,IXBNP04EE0,81,2019-06-06,2019-06-13,7
72,UI4MWG0BQ6,258,2019-05-11,2019-05-11,0
73,DNJP38PTPD,403,2019-12-08,2019-12-10,2
74,XZUGVB01YF,322,2019-01-14,2019-01-19,5
75,TGZ2IOABV0,69,2019-08-20,2019-08-27,7
76,171R7OZ4MF,37,2019-03-08,2019-03-12,4
77,XGZ4Y7JUMU,276,2019-11-08,2019-11-14,6
78,5Q5OC752H6,335,2019-08-23,2019-08-26,3
79,MFZJIZ03HG,390,2019-02-12,2019-02-17,5
80,WG9U3PX0SS,208,2019-06-16,2019-06-16,0
81,3SX6KK1GRU,66,2019-06-16,2019-06-23,7
82,K1HBAAQYAL,214,2019-09-19,2019-09-20,1
83,OQJ2005PDP,153,2019-04-25,2019-04-27,2
84,SO1CF8SNVE,194,2019-10-31,2019-11-06,6
85,TBCTL4L6VH,216,2019-12-01,2019-12-06,5
86,ZTEPB665QZ,91,2019-03-30,2019-04-02,3
87,9TKBDQV523,297,2019-09-25,2019-09-28,3
88,76WE70PVU5,190,2019-09-21,2019-09-25,4
89,BXEFHZOUBW,386,2019-01-14,2019-01-15,1
90,H2BPS7OD5F,114,2019-02-21,2019-02-28,7
91,Q8J5WC798T,343,2019-03-11,2019-03-18,7
92,0CIXOTLOJ8,431,2019-12-17,2019-12-17,0
93,VZQYS6VKKI,241,2019-05-19,2019-05-20,1
94,N1KLOG9VCU,242,2019-06-09,2019-06-12,3
95,SME8DZTWSC,258,2019-03-11,2019-03-11,0
96,MFGE9J34XV,394,2019-05-11,2019-05-12,1
97,Q7FR6DBUZ7,167,2019-02-12,2019-02-17,5
98,H3489LDV7L,89,2019-11-23,2019-11-27,4
99,76HOAVSXM1,308,2019-08-22,2019-08-22,0
100,E1SNVN3K5B,364,2019-01-08,2019-01-14,6
101,X01ZIG0QGK,106,2019-02-25,2019-03-03,6
102,MN5QGAQKHR,394,2019-08-23,2019-08-26,3
103,7OHXBWMY31,93,2019-12-01,2019-12-05,4
104,0QPXI7SKRJ,415,2019-03-19,2019-03-26,7
105,NXNZ5R6DC9,74,2019-09-12,2019-09-18,6
106,5BHA6FGM20,258,2019-02-18,2019-02-18,0
107,5Y0AV3GOFX,228,2019-10-26,2019-11-01,6
108,JH459MTMTO,49,2019-02-26,2019-02-28,2
109,39WNP2UJJ2,425,2019-04-05,2019-04-10,5
110,C4GWZELQKK,89,2019-03-03,2019-03-09,6
111,K8BQ3T0Y43,216,2019-10-18,2019-10-24,6
112,L4FXSNT4PK,430,2019-02-13,2019-02-16,3
113,XZM9Z91BJL,406,2019-04-07,2019-04-13,6
114,BB4N8FUJZX,302,2019-05-07,2019-05-10,3
115,GB7LP29341,112,2019-10-12,2019-10-12,0
116,8DXP0TQF2X,21,2019-10-06,2019-10-07,1
117,HCBQ7VWMNT,294,2019-01-05,2019-01-09,4
118,HQHCLK0ZPG,81,2019-07-17,2019-07-18,1
119,R53ROO7EYN,243,2019-03-30,2019-03-30,0
120,FSNW6AQ0UC,227,2019-10-20,2019-10-27,7
121,C5Z3CAEGZT,259,2019-12-31,2019-12-31,0
122,7BOYHDC4VM,216,2019-02-03,2019-02-10,7
123,A4BUIE3RNF,417,2019-10-08,2019-10-11,3
124,ZCFTB668JT,298,2019-03-28,2019-04-01,4
125,JNQDTONBQJ,5,2019-06-20,2019-06-22,2
126,R2MSEKRBM9,211,2019-07-30,2019-08-01,2
127,TZO23M2DWB,8,2019-04-21,2019-04-27,6
128,3PZ2AO2FGF,352,2019-09-18,2019-09-22,4
129,M7E5BBHRNS,426,2019-05-13,2019-05-15,2
130,KOXFR85K18,222,2019-04-13,2019-04-14,1
131,KEA6ZA282U,293,2019-11-26,2019-12-03,7
132,V70ZMTLI0A,101,2019-01-06,2019-01-13,7
133,7VAU98WEFW,55,2019-04-24,2019-04-28,4
134,FKCCPFQ95W,144,2019-08-10,2019-08-16,6
135,ZK6YAYYC5R,242,2019-01-19,2019-01-20,1
136,8W2GU3DZFU,171,2019-07-06,2019-07-11,5
137,5K9Y9YDN4M,99,2019-12-29,2020-01-04,6
138,2MRDHDRWZI,300,2019-02-12,2019-02-14,2
139,28A5F18HVZ,239,2019-08-16,2019-08-16,0
140,CIR5HZFJ50,280,2019-10-10,2019-10-11,1
141,7S78NAW7Q2,408,2019-12-23,2019-12-29,6
142,YMJCFGHDAK,407,2019-07-23,2019-07-30,7
143,P3M722KV1B,282,2019-10-12,2019-10-16,4
144,XLO2IM5FP9,337,2019-05-23,2019-05-26,3
145,FCFNXZWAT3,310,2019-12-27,2019-12-29,2
146,D4O6PZBLLK,108,2019-06-16,2019-06-16,0
147,ABNIG5SRG4,57,2019-09-23,2019-09-26,3
148,0Q4OWGS2T3,100,2019-11-10,2019-11-13,3
149,2IWM2YUXH6,407,2019-03-13,2019-03-18,5
150,04FBXB6E7X,345,2019-11-09,2019-11-15,6
151,TQ91Z7NQDR,135,2019-04-13,2019-04-17,4
152,J4CFF8B5RW,283,2019-05-24,2019-05-24,0
153,WES90AFA46,183,2019-12-09,2019-12-09,0
154,Z87BNO4TPG,163,2019-01-04,2019-01-11,7
155,440RDDSKQW,297,2019-05-14,2019-05-17,3
156,WE1HV5IBV2,76,2019-09-06,2019-09-10,4
157,IY1SFUK47K,74,2019-05-30,2019-06-01,2
158,4YQHQDE64R,256,2019-10-23,2019-10-28,5
159,0KJZV8BUY3,112,2019-06-27,2019-07-01,4
160,RYOZZZ2AH5,24,2019-02-01,2019-02-06,5
161,IBP1U1BEPX,353,2019-07-30,2019-08-02,3
162,CIROBX0N61,216,2019-04-24,2019-04-27,3
163,0ROWWM8AJM,250,2019-05-17,2019-05-23,6
164,YI271I1BDV,246,2019-03-27,2019-03-28,1
165,UWZ9I5ILUG,381,2019-12-21,2019-12-22,1
166,JDT7CHH9K2,325,2019-07-12,2019-07-17,5
167,0MB4M0PQOW,260,2019-05-10,2019-05-15,5
168,NOKIPE7COQ,397,2019-03-01,2019-03-02,1
169,CO5JYJ81EP,206,2019-07-30,2019-08-06,7
170,FLVPEHYDBX,12,2019-07-04,2019-07-10,6
171,LLB27LOQD0,84,2019-08-31,2019-09-01,1
172,N8VEPNTEFO,97,2019-12-24,2019-12-27,3
173,K9X09LAZOB,327,2019-03-23,2019-03-23,0
174,8TUUYAPVZ7,225,2019-04-18,2019-04-18,0
175,U4126VDRLV,323,2019-09-19,2019-09-20,1
176,CTQ4JPT25L,41,2019-01-18,2019-01-25,7
177,IS4NM2XK1L,415,2019-10-31,2019-11-06,6
178,Z6FJ6RLJ96,119,2019-07-13,2019-07-18,5
179,NXQRLJIQ01,225,2019-09-12,2019-09-14,2
180,GJDTN9O1KF,242,2019-03-23,2019-03-28,5
181,VKJ8OK6JNN,352,2019-03-01,2019-03-04,3
182,JH412Y56GB,303,2019-07-24,2019-07-29,5
183,TWPGAE75KD,20,2019-04-04,2019-04-11,7
184,VXSGQLYVNF,104,2019-06-21,2019-06-26,5
185,LQR8D2IBXS,150,2019-11-22,2019-11-24,2
186,BYS9ZQRR39,29,2019-12-29,2020-01-02,4
187,75ROBZ1ZX4,413,2019-03-07,2019-03-11,4
188,D31MNKAEUV,298,2019-03-21,2019-03-26,5
189,8BX6TUBB5R,205,2019-05-07,2019-05-07,0
190,M9JL4UR20V,148,2019-06-10,2019-06-10,0
191,53PZMCNKAI,265,2019-12-08,2019-12-11,3
192,QJUCTTC69K,294,2019-12-03,2019-12-07,4
193,DB1MR1514M,115,2019-07-21,2019-07-25,4
194,T6TGBA1QKE,262,2019-03-14,2019-03-19,5
195,SJUA179ATE,8,2019-08-14,2019-08-15,1
196,6UVZMJYO6Q,204,2019-03-17,2019-03-23,6
197,2AKGZEX9D5,395,2019-11-03,2019-11-05,2
198,X3PZDKQ1XI,81,2019-05-09,2019-05-09,0
199,6LWH0SHZ42,420,2019-02-03,2019-02-04,1
200,X8JUVI8SKM,290,2019-08-12,2019-08-18,6
201,U79DJZDJFS,62,2019-10-06,2019-10-11,5
202,Y8ZWFJ1T52,364,2019-12-26,2020-01-02,7
203,NZKOTCC2VU,377,2019-09-18,2019-09-22,4
204,KLBNMNVRFL,243,2019-06-29,2019-07-03,4
205,AP932HRYOD,95,2019-05-31,2019-06-05,5
206,YMXHMEPZBE,134,2019-04-25,2019-04-30,5
207,7JUKV36U2F,189,2019-11-12,2019-11-13,1
208,XGQU9FFBDM,403,2019-07-15,2019-07-21,6
209,KLYPIDAONG,299,2019-12-17,2019-12-23,6
210,7GIA1C6FP6,211,2019-10-01,2019-10-05,4
211,C1CSVOHE52,153,2019-08-30,2019-09-06,7
212,KZV33GXTDI,410,2019-06-26,2019-06-27,1
213,0OLT3LT46F,22,2019-11-09,2019-11-13,4
214,X44TAFXM00,365,2019-07-24,2019-07-28,4
215,NM2B3QL79V,139,2019-01-31,2019-02-03,3
216,ZZ0DN2U800,127,2019-04-02,2019-04-08,6
217,LUCAH2CZ1J,222,2019-02-03,2019-02-08,5
218,ATSD43AXK0,434,2019-04-27,2019-05-04,7
219,W2SV0CKKBC,160,2019-07-31,2019-08-03,3
220,RUY3GV914L,239,2019-09-17,2019-09-21,4
221,PS8UC12NQP,238,2019-08-10,2019-08-11,1
222,KSBEY87O1D,2,2019-04-08,2019-04-13,5
223,4GPOABJYJX,349,2019-11-06,2019-11-12,6
224,O4YKMZHQHD,399,2019-06-15,2019-06-19,4
225,N5E3ZAE64L,359,2019-03-15,2019-03-17,2
226,5B7NI52D2W,323,2019-02-04,2019-02-04,0
227,GM23XYEKNA,17,2019-08-07,2019-08-14,7
228,UZYN0NVSRL,272,2019-11-14,2019-11-19,5
229,5Z99UGT7M5,160,2019-05-09,2019-05-16,7
230,D3082M1AI6,127,2019-01-08,2019-01-13,5
231,OFLPUZYLJS,30,2019-09-10,2019-09-17,7
232,KGTJ0CXTD7,246,2019-05-12,2019-05-18,6
233,K9KEVQ2IZA,375,2019-09-27,2019-09-28,1
234,BESKZLUKOO,236,2019-07-31,2019-08-07,7
235,QUGMEQ7AZZ,267,2019-08-17,2019-08-22,5
236,6CC9OT91IG,371,2019-03-14,2019-03-17,3
237,NL9JU7T9CU,70,2019-05-31,2019-06-05,5
238,315D8L9PG2,338,2019-04-23,2019-04-23,0
239,7CYVUBEIP4,321,2019-06-07,2019-06-13,6
240,YYN4QDG3FK,175,2019-06-07,2019-06-07,0
241,5ZB9DTYPSU,142,2019-01-09,2019-01-09,0
242,7YUJ8PKONB,376,2019-07-21,2019-07-24,3
243,YWK7ADGEAI,161,2019-07-07,2019-07-14,7
244,6I793FA2QF,69,2019-10-30,2019-11-04,5
245,3YJ5KEZ9TB,238,2019-08-26,2019-09-02,7
246,SMT9R99PWG,232,2019-04-06,2019-04-06,0
247,IWWQPR0D6R,317,2019-01-07,2019-01-13,6
248,DYHCJ9CUWZ,211,2019-04-21,2019-04-21,0
249,L41MFM0DP6,351,2019-11-13,2019-11-20,7
250,1TCVYIAYVN,402,2019-08-31,2019-09-05,5
251,MI28ZK0TMC,402,2019-08-26,2019-08-30,4
252,L6T8IMX0WI,27,2019-06-04,2019-06-04,0
253,ZZ3R2POBZD,185,2019-01-21,2019-01-26,5
254,ADL73K9GI3,239,2019-03-12,2019-03-12,0
255,EJV3DSUY81,196,2019-12-15,2019-12-18,3
256,SK4D901ACA,303,2019-10-13,2019-10-13,0
257,ZJT7OWVU7E,306,2019-07-12,2019-07-19,7
258,8WWSMO7IC8,124,2019-11-10,2019-11-16,6
259,I4DQQQBK3E,207,2019-05-12,2019-05-15,3
260,IGD45X5NFA,84,2019-06-14,2019-06-16,2
261,0J8266UBGE,339,2019-01-07,2019-01-09,2
262,VD6PS08BSM,38,2019-12-28,2019-12-29,1
263,DSO14IAZQA,133,2019-05-02,2019-05-09,7
264,3FF6BUGPPJ,134,2019-01-08,2019-01-09,1
265,KZJ9J45G1O,48,2019-05-29,2019-06-01,3
266,H0UEHOI4UO,386,2019-09-01,2019-09-04,3
267,UFVTKV6SXE,380,2019-05-31,2019-05-31,0
268,K2L7UL5BB8,170,2019-01-01,2019-01-03,2
269,DK87FE4JG6,73,2019-06-23,2019-06-26,3
270,9XX1Y85FWQ,242,2019-10-10,2019-10-15,5
271,6AQCE29BKZ,155,2019-10-14,2019-10-17,3
272,Q7033ZAIJZ,85,2019-10-12,2019-10-14,2
273,MN6BUTS9V7,181,2019-05-04,2019-05-04,0
274,029Q9V7S6P,11,2019-03-08,2019-03-09,1
275,43RPO8H4YZ,283,2019-01-19,2019-01-20,1
276,EPO1Y7M86F,217,2019-12-27,2019-12-27,0
277,34YIESHA3M,188,2019-11-04,2019-11-04,0
278,QNTDY67CX1,421,2019-11-24,2019-11-24,0
279,OV6VTD4FMH,316,2019-09-15,2019-09-18,3
280,8ELPIYO9U7,242,2019-02-16,2019-02-16,0
281,7LPIMYVCN3,135,2019-04-10,2019-04-11,1
282,XAWN41497C,342,2019-12-24,2019-12-25,1
283,4HJ9B7YG23,234,2019-06-28,2019-07-04,6
284,J4ATE1B591,193,2019-07-05,2019-07-11,6
285,B0EGTS1HNB,360,2019-04-15,2019-04-21,6
286,OJQXK6JMF8,143,2019-07-01,2019-07-08,7
287,QR7DNBGCUW,199,2019-09-12,2019-09-18,6
288,0SKVEVUXYB,341,2019-06-26,2019-06-26,0
289,66B3TBL2O6,152,2019-09-27,2019-09-28,1
290,0FB6GOESAO,108,2019-01-31,2019-02-02,2
