id, identification, floor, section, location, shelf, column, row, emc
1, 111111, 1, 1, 1, 1, 1, 1, 0
2, 111112, 1, 1, 1, 1, 1, 2, 0
3, 111113, 1, 1, 1, 1, 1, 3, 0
4, 111114, 1, 1, 1, 1, 1, 4, 0
5, 111115, 1, 1, 1, 1, 1, 5, 0
6, 111121, 1, 1, 1, 1, 2, 1, 0
7, 111122, 1, 1, 1, 1, 2, 2, 0
8, 111123, 1, 1, 1, 1, 2, 3, 0
9, 111124, 1, 1, 1, 1, 2, 4, 0
10, 111125, 1, 1, 1, 1, 2, 5, 0
11, 111131, 1, 1, 1, 1, 3, 1, 0
12, 111132, 1, 1, 1, 1, 3, 2, 0
13, 111133, 1, 1, 1, 1, 3, 3, 0
14, 111134, 1, 1, 1, 1, 3, 4, 0
15, 111135, 1, 1, 1, 1, 3, 5, 0
16, 111141, 1, 1, 1, 1, 4, 1, 0
17, 111142, 1, 1, 1, 1, 4, 2, 0
18, 111143, 1, 1, 1, 1, 4, 3, 0
19, 111144, 1, 1, 1, 1, 4, 4, 0
20, 111145, 1, 1, 1, 1, 4, 5, 0
21, 111151, 1, 1, 1, 1, 5, 1, 0
22, 111152, 1, 1, 1, 1, 5, 2, 0
23, 111153, 1, 1, 1, 1, 5, 3, 0
24, 111154, 1, 1, 1, 1, 5, 4, 0
25, 111155, 1, 1, 1, 1, 5, 5, 0
26, 111211, 1, 1, 1, 2, 1, 1, 0
27, 111212, 1, 1, 1, 2, 1, 2, 0
28, 111213, 1, 1, 1, 2, 1, 3, 0
29, 111214, 1, 1, 1, 2, 1, 4, 0
30, 111215, 1, 1, 1, 2, 1, 5, 0
31, 111221, 1, 1, 1, 2, 2, 1, 0
32, 111222, 1, 1, 1, 2, 2, 2, 0
33, 111223, 1, 1, 1, 2, 2, 3, 0
34, 111224, 1, 1, 1, 2, 2, 4, 0
35, 111225, 1, 1, 1, 2, 2, 5, 0
36, 111231, 1, 1, 1, 2, 3, 1, 0
37, 111232, 1, 1, 1, 2, 3, 2, 0
38, 111233, 1, 1, 1, 2, 3, 3, 0
39, 111234, 1, 1, 1, 2, 3, 4, 0
40, 111235, 1, 1, 1, 2, 3, 5, 0
41, 111241, 1, 1, 1, 2, 4, 1, 0
42, 111242, 1, 1, 1, 2, 4, 2, 0
