id,identification,quantity,cost,price,profit,wage,description
1,RB11B110,20,6400,7100,700,14000,Bich_noi_ong_phun_PPR_DN_110_PN20
2,RB12B125,10,7800,8600,15000,150000,Bich_noi_ong_phun_PPR_DN_125_PN20
3,RB144016,10,7900,8700,5000,50000,Bich_noi_ong_phun_PPR_DN_140_PN16
4,RB50RB50,60,3800,4200,15000,900000,Bich_noi_ong_phun_PPR_DN_50_PN20
5,RB63RB63,50,5400,6000,15000,750000,Bich_noi_ong_phun_PPR_DN_63_PN20
6,RB75RB75,50,9700,10700,45000,2250000,Bich_noi_ong_phun_PPR_DN_75_PN20
7,RB90RB90,30,2100,2400,35000,1050000,Bich_noi_ong_phun_PPR_DN_90_PN20
8,RDB1B110,20,5800,6400,25000,500000,Dau_bit_phun_PPR_DN_110_PN20
9,RDB2DB20,600,4800,5300,55000,33000000,Dau_bit_phun_PPR_DN_20_PN20
10,RDB2DB25,360,4300,4800,25000,9000000,Dau_bit_phun_PPR_DN_25_PN20
11,RDB3DB32,400,4900,5400,35000,14000000,Dau_bit_phun_PPR_DN_32_PN20
12,RDB4DB40,300,1900,2100,45000,13500000,Dau_bit_phun_PPR_DN_40_PN20
13,RDB5DB50,120,3600,4000,35000,4200000,Dau_bit_phun_PPR_DN_50_PN20
14,RDB6DB63,100,3000,3300,45000,4500000,Dau_bit_phun_PPR_DN_63_PN20
15,RDB7DB75,50,5300,5900,35000,1750000,Dau_bit_phun_PPR_DN_75_PN20
16,RDB9DB90,30,1600,1800,45000,1350000,Dau_bit_phun_PPR_DN_90_PN20
17,RDKT1050,100,7300,8100,15000,1500000,Dai_khoi_thuy_han_cam_phun_PPR_DN110-50_PN20
18,RDKT4020,400,6900,7600,45000,18000000,Dai_khoi_thuy_han_cam_phun_PPR_DN_40-20_PN20
19,RDKT5020,400,6700,7400,5000,2000000,Dai_khoi_thuy_han_cam_phun_PPR_DN_50_-20_PN20
20,RDKT5025,320,6500,7200,45000,14400000,Dai_khoi_thuy_han_cam_phun_PPR_DN_50-25_PN20
21,RDKT6320,400,4500,5000,25000,10000000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63_-20_PN20
22,RDKT6325,320,4800,5300,25000,8000000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63-25_PN20
23,RDKT6332,300,7200,8000,25000,7500000,Dai_khoi_thuy_han_cam_phun_PPR_DN_63-32_PN20
24,RDKT7525,300,5000,5500,15000,4500000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75_-25_PN20
25,RDKT7532,300,3400,3800,25000,7500000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75-32_PN20
26,RDKT7540,180,7700,8500,45000,8100000,Dai_khoi_thuy_han_cam_phun_PPR_DN_75_-40_PN20
27,RDKT9020,400,4200,4700,45000,18000000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90-20_PN20
28,RDKT9025,300,5800,6400,45000,13500000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90_-25_PN20
29,RDKT9040,180,7300,8100,15000,2700000,Dai_khoi_thuy_han_cam_phun_PPR_DN_90_-40_PN20
30,ROT2OT20,210,2700,3000,55000,11550000,ong_tranh_PPR_DN_20_PN20
31,ROT2OT25,120,3600,4000,55000,6600000,ong_tranh_PPR_DN_25_PN20
32,RV20RV20,60,250000,275000,5000,300000,Van_chan_phun_PPR_DN_20
33,RV25RV25,60,450000,495000,45000,2700000,Van_chan_phun_PPR_DN_25
34,RV32RV32,36,450000,495000,5000,180000,Van_chan_phun_PPR_DN_32
35,RV40RV40,20,500000,550000,5000,100000,Van_chan_phun_PPR_DN_40
36,RV50RV50,20,160000,176000,45000,900000,Van_chan_phun_PPR_DN_50
37,RVC2VC20,60,240000,264000,35000,2100000,Van_cua_phun_PPR_DN_20
38,RVC2VC25,40,150000,165000,15000,600000,Van_cua_phun_PPR_DN_25
39,RVC3VC32,30,370000,407000,15000,450000,Van_cua_phun_PPR_DN_32
40,RVC4VC40,12,320000,352000,35000,420000,Van_cua_phun_PPR_DN_40
41,RVC5VC50,12,210000,231000,25000,300000,Van_cua_phun_PPR_DN_50
42,RVC6VC63,8,190000,209000,55000,440000,Van_cua_phun_PPR_DN_63
43,RZC22010,100,4000,4400,55000,5500000,Zac_co_phun_PPR_DN_20_PN10
44,RZC22510,150,9000,9900,45000,6750000,Zac_co_phun_PPR_DN_25_PN10
45,RZC33210,60,8800,9700,25000,1500000,Zac_co_phun_PPR_DN_32_PN10
46,RZC4C408,40,2800,3100,45000,1800000,Zac_co_phun_PPR_DN_40_PN8
47,RZC5C506,30,2400,2700,5000,150000,Zac_co_phun_PPR_DN_50_PN6
48,RZC6C636,18,6700,7400,15000,270000,Zac_co_phun_PPR_DN_63_PN6
49,RZRNRN20,90,6500,7200,15000,1350000,-1/2_Zacco_ren_ngoai_phun_PPR_DN_20PN20
50,RZRNRN25,30,4500,5000,15000,450000,-3/4_Zacco_ren_ngoai_phun_PPR_DN_25PN20
51,RZRNRN32,30,2900,3200,55000,1650000,Zacco_ren_ngoai_phun_PPR_DN_32-1PN20
52,RZRNRN40,24,8400,9300,5000,120000,Zacco_ren_ngoai_phun_PPR_DN_40-1.1/4PN20
53,RZRNRN50,12,6900,7600,15000,180000,-1.1/2_Zacco_ren_ngoai_phun_PPR_DN_50PN20
54,RZRNRN63,12,6400,7100,55000,660000,Zacco_ren_ngoai_phun_PPR_DN_63-2PN20
55,RZRTRT20,90,3000,3300,15000,1350000,Zacco_ren_trong_phun_PPR_DN_20-1/2PN20
56,RZRTRT25,30,7100,7900,15000,450000,Zacco_ren_trong_phun_PPR_DN_25-3/4PN20
57,RZRTRT32,30,9500,10500,35000,1050000,-1_Zacco_ren_trong_phun_PPR_DN_32PN20
58,RZRTRT40,24,1300,1500,25000,600000,-1.1/4_Zacco_ren_trong_phun_PPR_DN_40PN20
59,RZRTRT50,12,5900,6500,35000,420000,Zacco_ren_trong_phun_PPR_DN_50-1.1/2PN20
60,RZRTRT63,12,6000,6600,45000,540000,Z_acco_ren_trong_phun_PPR_DN_63_-2PN20
61,RL11L110,7,10000,11000,5000,35000,Noi_goc_90do_phun_PPR_DN_110_PN20
62,RL20RL20,280,2900,3200,55000,15400000,Noi_goc_90do_phun_PPR_DN_20_PN20
63,RL25RL25,320,2800,3100,55000,17600000,Noi_goc_90do_phun_PPR_DN_25_PN20
64,RL32RL32,160,2100,2400,15000,2400000,Noi_goc_90do_phun_PPR_DN_32_PN20
65,RL40RL40,80,2300,2600,45000,3600000,Noi_goc_90do_phun_PPR_DN_40_PN20
