id,product_code,total_carrier,total_shelf_age,total_cost,total_price,total_wage,total_order,total_different_day_timestamp,maximum_demand,average_demand,minimum_demand,maximum_flow,average_flow,minimum_flow,frequency
1,RB11B110,1496,22527,9574400,10621600,1047200,1083,340,15,4.4,1,5,1.3813481071098799,1,0.9315068493150684
2,RB12B125,1461,22094,11395800,12564600,1168800,1075,351,14,4.162393162393163,1,6,1.3590697674418604,1,0.9616438356164384
3,RB144016,1499,21693,11842100,13041300,1199200,1109,355,15,4.222535211267606,1,5,1.351668169522092,1,0.9726027397260274
4,RB50RB50,1458,21510,5540400,6123600,583200,1070,346,13,4.213872832369942,1,5,1.3626168224299064,1,0.947945205479452
5,RB63RB63,1535,22658,8289000,9210000,921000,1121,352,15,4.360795454545454,1,5,1.3693131132917038,1,0.9643835616438357
6,RB75RB75,1500,22663,14550000,16050000,1500000,1118,349,16,4.2979942693409745,1,5,1.3416815742397137,1,0.9561643835616438
7,RB90RB90,1444,21518,3032400,3465600,433200,1087,347,16,4.161383285302594,1,6,1.328426862925483,1,0.9506849315068493
8,RDB1B110,1489,22950,8636200,9529600,893400,1103,350,12,4.2542857142857144,1,5,1.3499546690843156,1,0.958904109589041
9,RDB2DB20,1449,21832,6955200,7679700,724500,1077,353,12,4.104815864022663,1,5,1.3454038997214484,1,0.9671232876712329
10,RDB2DB25,1503,22375,6462900,7214400,751500,1132,347,16,4.3314121037463975,1,6,1.3277385159010602,1,0.9506849315068493
11,RDB3DB32,1420,21844,6958001,7668001,710000,1074,349,12,4.0687679083094554,1,5,1.3221601489757915,1,0.9561643835616438
12,RDB4DB40,1486,21622,2823400,3120600,297200,1081,351,17,4.233618233618234,1,6,1.3746530989824237,1,0.9616438356164384
13,RDB5DB50,1481,22456,5331600,5924000,592400,1105,350,15,4.231428571428571,1,6,1.3402714932126696,1,0.958904109589041
14,RDB6DB63,1515,22665,4545000,4999500,454500,1101,352,12,4.3039772727272725,1,5,1.3760217983651226,1,0.9643835616438357
15,RDB7DB75,1457,22000,7722100,8596301,874201,1056,342,13,4.260233918128655,1,4,1.3797348484848484,1,0.936986301369863
16,RDB9DB90,1497,22207,2395201,2694600,299399,1100,346,14,4.326589595375722,1,5,1.3609090909090908,1,0.947945205479452
17,RDKT1050,1503,22963,10971900,12174300,1202400,1114,349,15,4.306590257879656,1,5,1.3491921005385996,1,0.9561643835616438
18,RDKT4020,1568,23634,10819200,11916800,1097600,1137,353,17,4.441926345609065,1,6,1.3790677220756375,1,0.9671232876712329
19,RDKT5020,1480,22451,9916000,10952000,1036000,1119,353,12,4.192634560906516,1,5,1.322609472743521,1,0.9671232876712329
20,RDKT5025,1457,21533,9470500,10490400,1019900,1075,355,12,4.104225352112676,1,5,1.3553488372093023,1,0.9726027397260274
21,RDKT6320,1505,22343,6772500,7525000,752500,1129,352,13,4.275568181818182,1,5,1.33303808680248,1,0.9643835616438357
22,RDKT6325,1564,23329,7507200,8289200,782000,1160,356,15,4.393258426966292,1,5,1.3482758620689654,1,0.9753424657534246
23,RDKT6332,1515,22616,10908000,12120000,1212000,1111,357,16,4.243697478991597,1,5,1.3636363636363635,1,0.9780821917808219
24,RDKT7525,1503,22852,7515000,8266500,751500,1120,350,14,4.2942857142857145,1,5,1.3419642857142857,1,0.958904109589041
25,RDKT7532,1488,22664,5059200,5654400,595200,1102,349,15,4.263610315186247,1,5,1.3502722323049001,1,0.9561643835616438
26,RDKT7540,1492,22948,11488400,12682000,1193600,1096,346,13,4.312138728323699,1,4,1.3613138686131387,1,0.947945205479452
27,RDKT9020,1487,22073,6245401,6988901,743500,1077,348,14,4.272988505747127,1,5,1.3806870937790159,1,0.9534246575342465
