id,product_code,total_carrier,total_shelf_age,total_cost,total_price,total_wage,total_order,total_different_day_timestamp,maximum_demand,average_demand,minimum_demand,maximum_flow,average_flow,minimum_flow,frequency
1,RB11B110,1564,23334,10009600.0,11104400.0,1094800.0,1109,343,14,4.559766763848397,1,4,1.4102795311091072,1,0.9397260273972603
2,RB12B125,1533,22841,11957400.0,13183800.0,1226400.0,1120,350,15,4.38,1,6,1.36875,1,0.958904109589041
3,RB144016,1452,21612,11470800.0,12632400.0,1161600.0,1065,347,16,4.184438040345821,1,4,1.3633802816901408,1,0.9506849315068493
4,RB50RB50,1525,22827,5795000.0,6405000.0,610000.0,1120,353,15,4.3201133144475925,1,5,1.3616071428571428,1,0.9671232876712329
5,RB63RB63,1521,23407,8213400.0,9126000.0,912600.0,1114,351,15,4.333333333333333,1,5,1.3653500897666069,1,0.9616438356164384
6,RB75RB75,1512,22692,14666400.0,16178400.0,1512000.0,1091,348,20,4.344827586206897,1,5,1.385884509624198,1,0.9534246575342465
7,RB90RB90,1512,22420,3175200.0,3628800.0,453600.0,1111,352,15,4.295454545454546,1,5,1.3609360936093609,1,0.9643835616438357
8,RDB1B110,1492,23199,8653600.0,9548800.0,895200.0,1081,353,16,4.2266288951841355,1,5,1.3802035152636447,1,0.9671232876712329
9,RDB2DB20,1466,22076,7036800.0,7769800.0,733000.0,1079,347,12,4.22478386167147,1,5,1.3586654309545876,1,0.9506849315068493
10,RDB2DB25,1567,23525,6738100.0,7521600.0,783500.0,1135,352,16,4.451704545454546,1,5,1.3806167400881058,1,0.9643835616438357
11,RDB3DB32,1429,21527,7002100.0,7716600.0,714500.0,1063,345,13,4.142028985507246,1,5,1.3443085606773284,1,0.9452054794520548
12,RDB4DB40,1472,22219,2796800.0,3091200.0,294400.0,1056,347,14,4.24207492795389,1,5,1.393939393939394,1,0.9506849315068493
13,RDB5DB50,1551,23784,5583600.0,6204000.0,620400.0,1123,356,14,4.356741573033708,1,5,1.3811219946571682,1,0.9753424657534246
14,RDB6DB63,1536,22708,4608000.0,5068800.0,460800.0,1109,349,17,4.401146131805158,1,6,1.3850315599639316,1,0.9561643835616438
15,RDB7DB75,1492,22253,7907600.0,8802800.0,895200.0,1101,353,15,4.2266288951841355,1,6,1.3551316984559492,1,0.9671232876712329
16,RDB9DB90,1498,22503,2396800.0,2696400.0,299600.0,1070,345,16,4.3420289855072465,1,4,1.4,1,0.9452054794520548
17,RDKT1050,1495,22422,10913500.0,12109500.0,1196000.0,1101,354,16,4.22316384180791,1,6,1.357856494096276,1,0.9698630136986301
18,RDKT4020,1515,22811,10453500.0,11514000.0,1060500.0,1111,349,13,4.340974212034384,1,4,1.3636363636363635,1,0.9561643835616438
19,RDKT5020,1488,22436,9969600.0,11011200.0,1041600.0,1100,353,14,4.215297450424929,1,4,1.3527272727272728,1,0.9671232876712329
20,RDKT5025,1487,22533,9665500.0,10706400.0,1040900.0,1114,361,15,4.119113573407202,1,5,1.3348294434470378,1,0.989041095890411
21,RDKT6320,1504,22475,6768000.0,7520000.0,752000.0,1112,352,13,4.2727272727272725,1,5,1.3525179856115108,1,0.9643835616438357
22,RDKT6325,1484,22393,7123200.0,7865200.0,742000.0,1113,352,12,4.215909090909091,1,6,1.3333333333333333,1,0.9643835616438357
23,RDKT6332,1455,21511,10476000.0,11640000.0,1164000.0,1080,349,15,4.169054441260745,1,6,1.3472222222222223,1,0.9561643835616438
24,RDKT7525,1450,21752,7250000.0,7975000.0,725000.0,1092,352,14,4.119318181818182,1,5,1.3278388278388278,1,0.9643835616438357
25,RDKT7532,1508,22764,5127200.0,5730400.0,603200.0,1102,353,11,4.2719546742209635,1,6,1.368421052631579,1,0.9671232876712329
26,RDKT7540,1471,21943,11326700.0,12503500.0,1176800.0,1092,353,15,4.1671388101983,1,4,1.3470695970695972,1,0.9671232876712329
27,RDKT9020,1495,22385,6279000.0,7026500.0,747500.0,1125,351,16,4.2592592592592595,1,5,1.3288888888888888,1,0.9616438356164384
28,RDKT9025,1532,23550,8885600.0,9804800.0,919200.0,1116,352,13,4.3522727272727275,1,5,1.3727598566308243,1,0.9643835616438357
29,RDKT9040,1532,22949,11183600.0,12409200.0,1225600.0,1119,352,14,4.3522727272727275,1,5,1.3690795352993745,1,0.9643835616438357
30,ROT2OT20,1474,21552,3979800.0,4422000.0,442200.0,1084,344,16,4.284883720930233,1,5,1.3597785977859778,1,0.9424657534246575
31,ROT2OT25,1543,23103,5554800.0,6172000.0,617200.0,1139,354,15,4.358757062146893,1,5,1.3546971027216856,1,0.9698630136986301
32,RV20RV20,1440,21729,360000000.0,396000000.0,36000000.0,1075,349,16,4.126074498567335,1,5,1.3395348837209302,1,0.9561643835616438
33,RV25RV25,1589,22883,715050000.0,786555000.0,71505000.0,1155,350,13,4.54,1,6,1.3757575757575757,1,0.958904109589041
